Training FedAvg...
Round [1/200]	 Train Loss [4.5950]	 Train Acc [8.29]	 Train Time [132.61]
Round [2/200]	 Train Loss [4.5664]	 Train Acc [9.30]	 Train Time [87.29]
Round [3/200]	 Train Loss [4.5412]	 Train Acc [10.46]	 Train Time [96.95]
Round [4/200]	 Train Loss [4.5127]	 Train Acc [11.90]	 Train Time [89.53]
Round [5/200]	 Train Loss [4.5116]	 Train Acc [12.75]	 Train Time [83.09]
Round [6/200]	 Train Loss [4.4793]	 Train Acc [13.91]	 Train Time [109.14]
Round [7/200]	 Train Loss [4.4778]	 Train Acc [13.98]	 Train Time [65.14]
Round [8/200]	 Train Loss [4.4495]	 Train Acc [15.06]	 Train Time [78.75]
Round [9/200]	 Train Loss [4.4372]	 Train Acc [15.82]	 Train Time [102.31]
Round [10/200]	 Train Loss [4.4024]	 Train Acc [16.65]	 Train Time [104.71]
Round [11/200]	 Train Loss [4.3979]	 Train Acc [17.51]	 Train Time [91.34]
Round [12/200]	 Train Loss [4.3751]	 Train Acc [17.53]	 Train Time [107.51]
Round [13/200]	 Train Loss [4.3503]	 Train Acc [19.11]	 Train Time [113.66]
Round [14/200]	 Train Loss [4.3463]	 Train Acc [18.74]	 Train Time [127.93]
Round [15/200]	 Train Loss [4.3100]	 Train Acc [19.50]	 Train Time [90.64]
Round [16/200]	 Train Loss [4.2949]	 Train Acc [20.33]	 Train Time [127.74]
Round [17/200]	 Train Loss [4.2744]	 Train Acc [20.89]	 Train Time [113.44]
Round [18/200]	 Train Loss [4.2380]	 Train Acc [21.59]	 Train Time [86.86]
Round [19/200]	 Train Loss [4.2364]	 Train Acc [21.47]	 Train Time [123.35]
Round [20/200]	 Train Loss [4.2124]	 Train Acc [23.21]	 Test Loss [4.2648|4.0500]	 Test Acc [14.76(6.12)|18.00(7.45)]	 Train Time [166.22]
Round [21/200]	 Train Loss [4.1847]	 Train Acc [22.65]	 Train Time [98.05]
Round [22/200]	 Train Loss [4.1542]	 Train Acc [23.21]	 Train Time [116.96]
Round [23/200]	 Train Loss [4.1457]	 Train Acc [24.25]	 Train Time [167.82]
Round [24/200]	 Train Loss [4.1130]	 Train Acc [24.14]	 Train Time [147.43]
Round [25/200]	 Train Loss [4.1089]	 Train Acc [23.90]	 Train Time [183.02]
Round [26/200]	 Train Loss [4.0841]	 Train Acc [24.87]	 Train Time [148.82]
Round [27/200]	 Train Loss [4.0658]	 Train Acc [25.25]	 Train Time [111.57]
Round [28/200]	 Train Loss [4.0437]	 Train Acc [26.08]	 Train Time [185.91]
Round [29/200]	 Train Loss [4.0469]	 Train Acc [25.55]	 Train Time [146.82]
Round [30/200]	 Train Loss [4.0005]	 Train Acc [26.27]	 Train Time [162.30]
Round [31/200]	 Train Loss [3.9755]	 Train Acc [27.47]	 Train Time [168.39]
Round [32/200]	 Train Loss [3.9745]	 Train Acc [27.68]	 Train Time [151.52]
Round [33/200]	 Train Loss [3.9351]	 Train Acc [28.43]	 Train Time [172.07]
Round [34/200]	 Train Loss [3.9174]	 Train Acc [27.86]	 Train Time [96.22]
Round [35/200]	 Train Loss [3.8983]	 Train Acc [29.08]	 Train Time [127.18]
Round [36/200]	 Train Loss [3.8667]	 Train Acc [29.75]	 Train Time [139.03]
Round [37/200]	 Train Loss [3.8305]	 Train Acc [30.54]	 Train Time [145.82]
Round [38/200]	 Train Loss [3.8158]	 Train Acc [30.46]	 Train Time [130.44]
Round [39/200]	 Train Loss [3.8171]	 Train Acc [29.91]	 Train Time [151.54]
Round [40/200]	 Train Loss [3.7972]	 Train Acc [30.67]	 Test Loss [3.9759|3.8161]	 Test Acc [19.02(7.84)|21.90(8.65)]	 Train Time [131.69]
Round [41/200]	 Train Loss [3.7735]	 Train Acc [31.28]	 Train Time [113.05]
Round [42/200]	 Train Loss [3.7547]	 Train Acc [31.71]	 Train Time [136.05]
Round [43/200]	 Train Loss [3.7180]	 Train Acc [32.55]	 Train Time [184.52]
Round [44/200]	 Train Loss [3.6911]	 Train Acc [32.97]	 Train Time [174.49]
Round [45/200]	 Train Loss [3.7028]	 Train Acc [32.63]	 Train Time [147.02]
Round [46/200]	 Train Loss [3.6609]	 Train Acc [33.15]	 Train Time [151.78]
Round [47/200]	 Train Loss [3.6373]	 Train Acc [34.02]	 Train Time [149.21]
Round [48/200]	 Train Loss [3.6231]	 Train Acc [34.28]	 Train Time [112.24]
Round [49/200]	 Train Loss [3.5919]	 Train Acc [34.73]	 Train Time [100.59]
Round [50/200]	 Train Loss [3.6036]	 Train Acc [34.47]	 Train Time [141.72]
Round [51/200]	 Train Loss [3.5527]	 Train Acc [36.21]	 Train Time [122.73]
Round [52/200]	 Train Loss [3.5471]	 Train Acc [36.20]	 Train Time [149.72]
Round [53/200]	 Train Loss [3.5386]	 Train Acc [36.57]	 Train Time [108.96]
Round [54/200]	 Train Loss [3.5071]	 Train Acc [37.66]	 Train Time [97.13]
Round [55/200]	 Train Loss [3.4989]	 Train Acc [36.67]	 Train Time [151.66]
Round [56/200]	 Train Loss [3.4762]	 Train Acc [37.56]	 Train Time [157.26]
Round [57/200]	 Train Loss [3.4276]	 Train Acc [38.62]	 Train Time [164.22]
Round [58/200]	 Train Loss [3.4134]	 Train Acc [38.56]	 Train Time [173.77]
Round [59/200]	 Train Loss [3.3854]	 Train Acc [39.37]	 Train Time [199.80]
Round [60/200]	 Train Loss [3.3783]	 Train Acc [39.43]	 Test Loss [3.7257|3.6226]	 Test Acc [22.59(8.05)|23.93(8.95)]	 Train Time [155.83]
Round [61/200]	 Train Loss [3.3429]	 Train Acc [40.70]	 Train Time [184.01]
Round [62/200]	 Train Loss [3.3367]	 Train Acc [40.77]	 Train Time [212.99]
Round [63/200]	 Train Loss [3.2967]	 Train Acc [40.56]	 Train Time [109.81]
Round [64/200]	 Train Loss [3.2981]	 Train Acc [40.86]	 Train Time [168.18]
Round [65/200]	 Train Loss [3.2484]	 Train Acc [43.31]	 Train Time [127.14]
Round [66/200]	 Train Loss [3.2497]	 Train Acc [42.12]	 Train Time [182.57]
Round [67/200]	 Train Loss [3.2515]	 Train Acc [41.57]	 Train Time [147.88]
Round [68/200]	 Train Loss [3.2257]	 Train Acc [42.45]	 Train Time [123.10]
