Training FedAvg...
Round [1/200]	 Train Loss [4.4102]	 Train Acc [6.75]	 Train Time [26.60]
Round [2/200]	 Train Loss [4.0177]	 Train Acc [7.06]	 Train Time [22.93]
Round [3/200]	 Train Loss [3.9316]	 Train Acc [8.75]	 Train Time [24.23]
Round [4/200]	 Train Loss [3.7574]	 Train Acc [11.90]	 Train Time [22.73]
Round [5/200]	 Train Loss [3.4983]	 Train Acc [15.46]	 Train Time [22.96]
Round [6/200]	 Train Loss [3.3985]	 Train Acc [16.53]	 Train Time [25.44]
Round [7/200]	 Train Loss [3.3200]	 Train Acc [18.18]	 Train Time [25.88]
Round [8/200]	 Train Loss [3.2270]	 Train Acc [19.97]	 Train Time [20.13]
Round [9/200]	 Train Loss [3.1047]	 Train Acc [22.32]	 Train Time [26.70]
Round [10/200]	 Train Loss [3.0855]	 Train Acc [22.54]	 Train Time [24.10]
Round [11/200]	 Train Loss [2.9800]	 Train Acc [24.03]	 Train Time [28.04]
Round [12/200]	 Train Loss [2.8764]	 Train Acc [26.46]	 Train Time [25.68]
Round [13/200]	 Train Loss [2.7836]	 Train Acc [28.25]	 Train Time [20.65]
Round [14/200]	 Train Loss [2.7120]	 Train Acc [30.31]	 Train Time [22.50]
Round [15/200]	 Train Loss [2.6014]	 Train Acc [32.46]	 Train Time [21.83]
Round [16/200]	 Train Loss [2.4827]	 Train Acc [35.00]	 Train Time [21.31]
Round [17/200]	 Train Loss [2.3817]	 Train Acc [37.40]	 Train Time [22.74]
Round [18/200]	 Train Loss [2.2837]	 Train Acc [40.31]	 Train Time [21.27]
Round [19/200]	 Train Loss [2.1594]	 Train Acc [43.01]	 Train Time [27.02]
Round [20/200]	 Train Loss [2.1183]	 Train Acc [44.35]	 Test Loss [3.6433|4.3112]	 Test Acc [18.23(8.11)|21.70(7.90)]	 Train Time [22.88]
Round [21/200]	 Train Loss [2.0198]	 Train Acc [46.92]	 Train Time [32.79]
Round [22/200]	 Train Loss [1.9159]	 Train Acc [49.47]	 Train Time [24.99]
Round [23/200]	 Train Loss [1.8854]	 Train Acc [50.62]	 Train Time [19.39]
Round [24/200]	 Train Loss [1.7955]	 Train Acc [52.96]	 Train Time [20.68]
Round [25/200]	 Train Loss [1.7065]	 Train Acc [55.42]	 Train Time [25.00]
Round [26/200]	 Train Loss [1.6550]	 Train Acc [57.08]	 Train Time [22.43]
Round [27/200]	 Train Loss [1.5759]	 Train Acc [59.04]	 Train Time [30.67]
Round [28/200]	 Train Loss [1.5012]	 Train Acc [61.08]	 Train Time [22.38]
Round [29/200]	 Train Loss [1.4763]	 Train Acc [62.14]	 Train Time [25.78]
