Training FedAvg...
Round [1/200]	 Train Loss [1.0617]	 Train Acc [72.65]	 Train Time [75.66]
Round [2/200]	 Train Loss [0.8734]	 Train Acc [68.17]	 Train Time [52.99]
Round [3/200]	 Train Loss [0.5428]	 Train Acc [81.47]	 Train Time [56.38]
Round [4/200]	 Train Loss [0.6682]	 Train Acc [78.71]	 Train Time [56.03]
Round [5/200]	 Train Loss [0.5418]	 Train Acc [82.36]	 Train Time [69.22]
Round [6/200]	 Train Loss [0.4657]	 Train Acc [85.01]	 Train Time [62.47]
Round [7/200]	 Train Loss [0.4809]	 Train Acc [85.09]	 Train Time [51.20]
Round [8/200]	 Train Loss [0.4275]	 Train Acc [85.02]	 Train Time [48.08]
Round [9/200]	 Train Loss [0.4138]	 Train Acc [86.10]	 Train Time [47.92]
Round [10/200]	 Train Loss [0.4856]	 Train Acc [83.87]	 Train Time [41.42]
Round [11/200]	 Train Loss [0.5014]	 Train Acc [83.12]	 Train Time [61.05]
Round [12/200]	 Train Loss [0.6530]	 Train Acc [77.66]	 Train Time [41.90]
Round [13/200]	 Train Loss [0.4333]	 Train Acc [85.69]	 Train Time [52.89]
Round [14/200]	 Train Loss [0.3853]	 Train Acc [86.90]	 Train Time [64.20]
Round [15/200]	 Train Loss [0.2973]	 Train Acc [90.12]	 Train Time [70.21]
Round [16/200]	 Train Loss [0.3744]	 Train Acc [87.87]	 Train Time [50.80]
Round [17/200]	 Train Loss [0.3514]	 Train Acc [89.32]	 Train Time [79.71]
Round [18/200]	 Train Loss [0.3998]	 Train Acc [86.89]	 Train Time [70.11]
Round [19/200]	 Train Loss [0.3297]	 Train Acc [89.68]	 Train Time [62.86]
Round [20/200]	 Train Loss [0.3272]	 Train Acc [89.57]	 Test Loss [2.0199|0.5521]	 Test Acc [28.75(24.50)|84.71(15.95)]	 Train Time [82.15]
Round [21/200]	 Train Loss [0.3134]	 Train Acc [90.09]	 Train Time [43.27]
Round [22/200]	 Train Loss [0.2719]	 Train Acc [92.00]	 Train Time [37.59]
Round [23/200]	 Train Loss [0.3574]	 Train Acc [88.45]	 Train Time [47.21]
Round [24/200]	 Train Loss [0.2904]	 Train Acc [90.57]	 Train Time [84.41]
Round [25/200]	 Train Loss [0.3223]	 Train Acc [89.33]	 Train Time [61.83]
Round [26/200]	 Train Loss [0.3061]	 Train Acc [90.65]	 Train Time [36.60]
Round [27/200]	 Train Loss [0.2941]	 Train Acc [90.17]	 Train Time [53.39]
Round [28/200]	 Train Loss [0.2455]	 Train Acc [92.41]	 Train Time [65.55]
Round [29/200]	 Train Loss [0.2198]	 Train Acc [93.01]	 Train Time [59.09]
Round [30/200]	 Train Loss [0.2852]	 Train Acc [90.97]	 Train Time [54.55]
Round [31/200]	 Train Loss [0.3307]	 Train Acc [89.58]	 Train Time [37.38]
Round [32/200]	 Train Loss [0.2484]	 Train Acc [92.94]	 Train Time [53.46]
Round [33/200]	 Train Loss [0.3262]	 Train Acc [89.50]	 Train Time [55.39]
Round [34/200]	 Train Loss [0.3018]	 Train Acc [90.38]	 Train Time [72.78]
Round [35/200]	 Train Loss [0.2201]	 Train Acc [93.34]	 Train Time [67.60]
Round [36/200]	 Train Loss [0.2727]	 Train Acc [91.52]	 Train Time [53.31]
Round [37/200]	 Train Loss [0.2364]	 Train Acc [92.66]	 Train Time [47.70]
Round [38/200]	 Train Loss [0.2729]	 Train Acc [91.38]	 Train Time [68.77]
Round [39/200]	 Train Loss [0.2708]	 Train Acc [91.74]	 Train Time [55.84]
Round [40/200]	 Train Loss [0.1999]	 Train Acc [93.76]	 Test Loss [1.7675|0.5102]	 Test Acc [37.32(23.32)|87.36(16.12)]	 Train Time [75.49]
Round [41/200]	 Train Loss [0.2606]	 Train Acc [91.56]	 Train Time [59.99]
Round [42/200]	 Train Loss [0.1916]	 Train Acc [94.04]	 Train Time [56.56]
Round [43/200]	 Train Loss [0.2181]	 Train Acc [93.50]	 Train Time [46.00]
Round [44/200]	 Train Loss [0.2049]	 Train Acc [93.73]	 Train Time [67.46]
Round [45/200]	 Train Loss [0.2543]	 Train Acc [92.01]	 Train Time [40.31]
Round [46/200]	 Train Loss [0.3250]	 Train Acc [89.55]	 Train Time [32.05]
Round [47/200]	 Train Loss [0.2887]	 Train Acc [90.82]	 Train Time [53.40]
Round [48/200]	 Train Loss [0.2551]	 Train Acc [91.99]	 Train Time [35.81]
Round [49/200]	 Train Loss [0.2051]	 Train Acc [93.74]	 Train Time [58.04]
Round [50/200]	 Train Loss [0.2162]	 Train Acc [93.16]	 Train Time [56.22]
Round [51/200]	 Train Loss [0.2025]	 Train Acc [93.88]	 Train Time [57.28]
Round [52/200]	 Train Loss [0.2068]	 Train Acc [93.54]	 Train Time [55.51]
Round [53/200]	 Train Loss [0.1833]	 Train Acc [94.30]	 Train Time [64.76]
Round [54/200]	 Train Loss [0.2212]	 Train Acc [93.00]	 Train Time [56.35]
Round [55/200]	 Train Loss [0.2195]	 Train Acc [93.12]	 Train Time [58.65]
Round [56/200]	 Train Loss [0.1635]	 Train Acc [94.97]	 Train Time [49.62]
Round [57/200]	 Train Loss [0.1509]	 Train Acc [95.47]	 Train Time [78.71]
Round [58/200]	 Train Loss [0.1673]	 Train Acc [94.96]	 Train Time [65.95]
Round [59/200]	 Train Loss [0.2113]	 Train Acc [93.27]	 Train Time [33.18]
Round [60/200]	 Train Loss [0.2305]	 Train Acc [93.07]	 Test Loss [1.8552|0.5145]	 Test Acc [35.38(23.48)|88.02(13.52)]	 Train Time [49.62]
Round [61/200]	 Train Loss [0.2269]	 Train Acc [93.06]	 Train Time [59.81]
Round [62/200]	 Train Loss [0.1854]	 Train Acc [94.22]	 Train Time [59.89]
Round [63/200]	 Train Loss [0.1955]	 Train Acc [94.11]	 Train Time [44.29]
Round [64/200]	 Train Loss [0.1991]	 Train Acc [93.96]	 Train Time [63.98]
Round [65/200]	 Train Loss [0.1791]	 Train Acc [94.54]	 Train Time [54.46]
Round [66/200]	 Train Loss [0.1951]	 Train Acc [93.74]	 Train Time [43.90]
Round [67/200]	 Train Loss [0.1526]	 Train Acc [95.35]	 Train Time [45.94]
Round [68/200]	 Train Loss [0.1486]	 Train Acc [95.38]	 Train Time [96.03]
Round [69/200]	 Train Loss [0.1501]	 Train Acc [95.37]	 Train Time [63.59]
Round [70/200]	 Train Loss [0.1555]	 Train Acc [95.25]	 Train Time [50.71]
Round [71/200]	 Train Loss [0.1371]	 Train Acc [95.89]	 Train Time [84.47]
Round [72/200]	 Train Loss [0.1662]	 Train Acc [94.95]	 Train Time [65.74]
Round [73/200]	 Train Loss [0.1385]	 Train Acc [95.73]	 Train Time [64.66]
Round [74/200]	 Train Loss [0.1956]	 Train Acc [94.05]	 Train Time [60.11]
Round [75/200]	 Train Loss [0.1714]	 Train Acc [94.69]	 Train Time [54.28]
Round [76/200]	 Train Loss [0.1531]	 Train Acc [95.15]	 Train Time [58.33]
Round [77/200]	 Train Loss [0.1900]	 Train Acc [94.15]	 Train Time [38.72]
Round [78/200]	 Train Loss [0.1138]	 Train Acc [96.65]	 Train Time [71.89]
Round [79/200]	 Train Loss [0.1792]	 Train Acc [94.59]	 Train Time [68.49]
Round [80/200]	 Train Loss [0.1458]	 Train Acc [95.57]	 Test Loss [1.8181|0.5177]	 Test Acc [44.93(23.89)|88.32(14.41)]	 Train Time [59.29]
Round [81/200]	 Train Loss [0.1036]	 Train Acc [96.94]	 Train Time [77.66]
Round [82/200]	 Train Loss [0.1253]	 Train Acc [96.00]	 Train Time [75.10]
Round [83/200]	 Train Loss [0.1356]	 Train Acc [95.86]	 Train Time [43.21]
Round [84/200]	 Train Loss [0.1439]	 Train Acc [95.73]	 Train Time [75.12]
Round [85/200]	 Train Loss [0.1492]	 Train Acc [95.29]	 Train Time [67.59]
Round [86/200]	 Train Loss [0.1382]	 Train Acc [95.74]	 Train Time [56.81]
Round [87/200]	 Train Loss [0.1479]	 Train Acc [95.59]	 Train Time [54.42]
Round [88/200]	 Train Loss [0.1691]	 Train Acc [94.63]	 Train Time [50.59]
Round [89/200]	 Train Loss [0.1749]	 Train Acc [94.66]	 Train Time [41.25]
Round [90/200]	 Train Loss [0.1502]	 Train Acc [95.46]	 Train Time [68.04]
Round [91/200]	 Train Loss [0.1162]	 Train Acc [96.50]	 Train Time [71.58]
Round [92/200]	 Train Loss [0.1070]	 Train Acc [96.72]	 Train Time [75.90]
Round [93/200]	 Train Loss [0.1264]	 Train Acc [95.95]	 Train Time [59.99]
