Files already downloaded and verified
Files already downloaded and verified
Training FedAvg...
Round [1/200]	 Train Loss [3.6661]	 Train Acc [14.19]	 Train Time [78.96]
Round [2/200]	 Train Loss [3.3522]	 Train Acc [19.61]	 Train Time [75.21]
Round [3/200]	 Train Loss [3.1093]	 Train Acc [23.72]	 Train Time [75.12]
Round [4/200]	 Train Loss [2.8469]	 Train Acc [29.26]	 Train Time [97.31]
Round [5/200]	 Train Loss [2.5988]	 Train Acc [34.75]	 Train Time [50.31]
Round [6/200]	 Train Loss [2.4430]	 Train Acc [39.02]	 Train Time [67.78]
Round [7/200]	 Train Loss [2.2498]	 Train Acc [44.01]	 Train Time [58.14]
Round [8/200]	 Train Loss [2.0378]	 Train Acc [49.76]	 Train Time [72.45]
Round [9/200]	 Train Loss [1.9752]	 Train Acc [52.07]	 Train Time [76.12]
Round [10/200]	 Train Loss [1.8519]	 Train Acc [55.33]	 Train Time [78.89]
Round [11/200]	 Train Loss [1.7538]	 Train Acc [58.25]	 Train Time [108.29]
Round [12/200]	 Train Loss [1.6069]	 Train Acc [61.61]	 Train Time [75.24]
Round [13/200]	 Train Loss [1.5494]	 Train Acc [62.97]	 Train Time [78.17]
Round [14/200]	 Train Loss [1.4769]	 Train Acc [65.03]	 Train Time [55.16]
Round [15/200]	 Train Loss [1.4620]	 Train Acc [65.46]	 Train Time [67.56]
Round [16/200]	 Train Loss [1.4082]	 Train Acc [67.03]	 Train Time [58.99]
Round [17/200]	 Train Loss [1.3665]	 Train Acc [67.74]	 Train Time [64.61]
Round [18/200]	 Train Loss [1.2971]	 Train Acc [69.29]	 Train Time [48.60]
Round [19/200]	 Train Loss [1.2658]	 Train Acc [70.14]	 Train Time [90.83]
Round [20/200]	 Train Loss [1.2392]	 Train Acc [70.80]	 Test Loss [3.5112|3.1495]	 Test Acc [21.17(7.21)|29.13(8.45)]	 Train Time [94.63]
Round [21/200]	 Train Loss [1.1594]	 Train Acc [72.49]	 Train Time [95.35]
Round [22/200]	 Train Loss [1.1771]	 Train Acc [72.23]	 Train Time [52.82]
Round [23/200]	 Train Loss [1.1337]	 Train Acc [73.27]	 Train Time [75.16]
Round [24/200]	 Train Loss [1.1095]	 Train Acc [73.96]	 Train Time [70.69]
Round [25/200]	 Train Loss [1.1056]	 Train Acc [73.93]	 Train Time [81.38]
Round [26/200]	 Train Loss [1.0199]	 Train Acc [75.74]	 Train Time [60.36]
Round [27/200]	 Train Loss [1.0494]	 Train Acc [75.24]	 Train Time [59.45]
Round [28/200]	 Train Loss [1.0082]	 Train Acc [76.24]	 Train Time [71.88]
Round [29/200]	 Train Loss [1.0136]	 Train Acc [76.18]	 Train Time [83.57]
Round [30/200]	 Train Loss [0.9844]	 Train Acc [76.92]	 Train Time [91.18]
Round [31/200]	 Train Loss [0.9455]	 Train Acc [77.53]	 Train Time [85.70]
Round [32/200]	 Train Loss [0.8984]	 Train Acc [78.48]	 Train Time [83.32]
Round [33/200]	 Train Loss [0.9286]	 Train Acc [78.07]	 Train Time [74.36]
Round [34/200]	 Train Loss [0.8701]	 Train Acc [79.44]	 Train Time [48.64]
Round [35/200]	 Train Loss [0.8717]	 Train Acc [79.37]	 Train Time [62.26]
Round [36/200]	 Train Loss [0.8700]	 Train Acc [79.28]	 Train Time [62.18]
Round [37/200]	 Train Loss [0.8494]	 Train Acc [79.99]	 Train Time [85.19]
Round [38/200]	 Train Loss [0.8133]	 Train Acc [80.56]	 Train Time [86.88]
Round [39/200]	 Train Loss [0.8303]	 Train Acc [80.16]	 Train Time [80.67]
Round [40/200]	 Train Loss [0.8005]	 Train Acc [80.72]	 Test Loss [3.4297|3.0485]	 Test Acc [24.84(7.28)|32.18(8.50)]	 Train Time [69.13]
Round [41/200]	 Train Loss [0.7919]	 Train Acc [81.06]	 Train Time [58.13]
Round [42/200]	 Train Loss [0.8044]	 Train Acc [80.77]	 Train Time [66.99]
Round [43/200]	 Train Loss [0.7705]	 Train Acc [81.47]	 Train Time [69.41]
Round [44/200]	 Train Loss [0.7358]	 Train Acc [82.29]	 Train Time [66.03]
Round [45/200]	 Train Loss [0.7534]	 Train Acc [81.90]	 Train Time [63.43]
Round [46/200]	 Train Loss [0.7326]	 Train Acc [82.32]	 Train Time [73.60]
Round [47/200]	 Train Loss [0.7013]	 Train Acc [82.96]	 Train Time [78.06]
Round [48/200]	 Train Loss [0.7265]	 Train Acc [82.55]	 Train Time [77.72]
Round [49/200]	 Train Loss [0.7039]	 Train Acc [82.95]	 Train Time [61.75]
Round [50/200]	 Train Loss [0.6803]	 Train Acc [83.43]	 Train Time [62.39]
Round [51/200]	 Train Loss [0.6620]	 Train Acc [83.83]	 Train Time [76.58]
Round [52/200]	 Train Loss [0.6616]	 Train Acc [83.85]	 Train Time [91.77]
Round [53/200]	 Train Loss [0.6259]	 Train Acc [84.62]	 Train Time [79.50]
Round [54/200]	 Train Loss [0.6507]	 Train Acc [84.00]	 Train Time [83.37]
Round [55/200]	 Train Loss [0.6516]	 Train Acc [84.08]	 Train Time [62.94]
Round [56/200]	 Train Loss [0.6303]	 Train Acc [84.57]	 Train Time [82.07]
Round [57/200]	 Train Loss [0.6236]	 Train Acc [84.77]	 Train Time [98.48]
Round [58/200]	 Train Loss [0.6117]	 Train Acc [84.71]	 Train Time [66.32]
Round [59/200]	 Train Loss [0.6233]	 Train Acc [84.72]	 Train Time [50.59]
Round [60/200]	 Train Loss [0.6071]	 Train Acc [85.01]	 Test Loss [3.3965|3.0240]	 Test Acc [26.83(7.51)|34.11(7.75)]	 Train Time [88.07]
Round [61/200]	 Train Loss [0.6104]	 Train Acc [84.92]	 Train Time [64.62]
Round [62/200]	 Train Loss [0.5928]	 Train Acc [85.21]	 Train Time [68.65]
Round [63/200]	 Train Loss [0.5863]	 Train Acc [85.52]	 Train Time [98.64]
Round [64/200]	 Train Loss [0.5283]	 Train Acc [86.59]	 Train Time [80.24]
Round [65/200]	 Train Loss [0.5549]	 Train Acc [86.15]	 Train Time [81.51]
Round [66/200]	 Train Loss [0.5262]	 Train Acc [86.69]	 Train Time [82.93]
Round [67/200]	 Train Loss [0.5383]	 Train Acc [86.53]	 Train Time [56.88]
Round [68/200]	 Train Loss [0.5154]	 Train Acc [87.05]	 Train Time [68.04]
Round [69/200]	 Train Loss [0.5454]	 Train Acc [86.29]	 Train Time [77.78]
Round [70/200]	 Train Loss [0.5010]	 Train Acc [87.17]	 Train Time [75.66]
Round [71/200]	 Train Loss [0.5464]	 Train Acc [86.28]	 Train Time [92.39]
Round [72/200]	 Train Loss [0.4907]	 Train Acc [87.50]	 Train Time [94.93]
Round [73/200]	 Train Loss [0.4945]	 Train Acc [87.41]	 Train Time [89.30]
Round [74/200]	 Train Loss [0.5155]	 Train Acc [86.93]	 Train Time [75.90]
Round [75/200]	 Train Loss [0.4684]	 Train Acc [87.99]	 Train Time [74.68]
Round [76/200]	 Train Loss [0.4743]	 Train Acc [87.71]	 Train Time [81.08]
Round [77/200]	 Train Loss [0.4751]	 Train Acc [87.88]	 Train Time [70.63]
Round [78/200]	 Train Loss [0.4742]	 Train Acc [87.87]	 Train Time [66.61]
Round [79/200]	 Train Loss [0.4703]	 Train Acc [88.01]	 Train Time [76.15]
Round [80/200]	 Train Loss [0.4863]	 Train Acc [87.52]	 Test Loss [3.4238|3.0778]	 Test Acc [28.34(7.20)|34.21(8.38)]	 Train Time [71.77]
Round [81/200]	 Train Loss [0.4598]	 Train Acc [88.08]	 Train Time [65.26]
Round [82/200]	 Train Loss [0.4513]	 Train Acc [88.16]	 Train Time [82.45]
Round [83/200]	 Train Loss [0.4531]	 Train Acc [88.35]	 Train Time [74.58]
Round [84/200]	 Train Loss [0.4334]	 Train Acc [88.71]	 Train Time [93.84]
Round [85/200]	 Train Loss [0.4470]	 Train Acc [88.33]	 Train Time [59.50]
Round [86/200]	 Train Loss [0.4347]	 Train Acc [88.64]	 Train Time [68.52]
Round [87/200]	 Train Loss [0.4653]	 Train Acc [88.01]	 Train Time [66.71]
Round [88/200]	 Train Loss [0.4200]	 Train Acc [88.99]	 Train Time [93.82]
Round [89/200]	 Train Loss [0.4549]	 Train Acc [88.37]	 Train Time [70.42]
Round [90/200]	 Train Loss [0.4092]	 Train Acc [89.18]	 Train Time [80.19]
Round [91/200]	 Train Loss [0.4228]	 Train Acc [88.89]	 Train Time [64.23]
Round [92/200]	 Train Loss [0.3917]	 Train Acc [89.65]	 Train Time [94.72]
Round [93/200]	 Train Loss [0.4024]	 Train Acc [89.48]	 Train Time [63.75]
Round [94/200]	 Train Loss [0.3807]	 Train Acc [89.83]	 Train Time [62.55]
Round [95/200]	 Train Loss [0.3767]	 Train Acc [90.05]	 Train Time [81.74]
Round [96/200]	 Train Loss [0.3738]	 Train Acc [90.04]	 Train Time [73.87]
Round [97/200]	 Train Loss [0.3722]	 Train Acc [90.10]	 Train Time [71.85]
Round [98/200]	 Train Loss [0.3658]	 Train Acc [90.25]	 Train Time [77.18]
Round [99/200]	 Train Loss [0.3490]	 Train Acc [90.70]	 Train Time [69.21]
Round [100/200]	 Train Loss [0.3564]	 Train Acc [90.51]	 Test Loss [3.5384|3.1440]	 Test Acc [28.51(7.22)|35.26(7.82)]	 Train Time [73.84]
