Training FedAvg...
Round [1/200]	 Train Loss [1.9785]	 Train Acc [36.95]	 Train Time [13.87]
Round [2/200]	 Train Loss [1.7330]	 Train Acc [38.44]	 Train Time [10.59]
Round [3/200]	 Train Loss [1.6329]	 Train Acc [41.93]	 Train Time [11.35]
Round [4/200]	 Train Loss [1.5661]	 Train Acc [43.59]	 Train Time [12.43]
Round [5/200]	 Train Loss [1.5018]	 Train Acc [45.54]	 Train Time [10.67]
Round [6/200]	 Train Loss [1.4266]	 Train Acc [49.61]	 Train Time [11.48]
Round [7/200]	 Train Loss [1.4620]	 Train Acc [47.89]	 Train Time [9.65]
Round [8/200]	 Train Loss [1.3505]	 Train Acc [51.89]	 Train Time [9.65]
Round [9/200]	 Train Loss [1.3151]	 Train Acc [52.64]	 Train Time [10.71]
Round [10/200]	 Train Loss [1.3175]	 Train Acc [53.08]	 Train Time [14.72]
Round [11/200]	 Train Loss [1.2775]	 Train Acc [53.82]	 Train Time [9.93]
Round [12/200]	 Train Loss [1.3144]	 Train Acc [53.66]	 Train Time [8.32]
Round [13/200]	 Train Loss [1.2330]	 Train Acc [55.85]	 Train Time [13.58]
Round [14/200]	 Train Loss [1.2679]	 Train Acc [54.84]	 Train Time [7.05]
Round [15/200]	 Train Loss [1.1898]	 Train Acc [57.56]	 Train Time [14.07]
Round [16/200]	 Train Loss [1.1366]	 Train Acc [60.47]	 Train Time [10.62]
Round [17/200]	 Train Loss [1.1698]	 Train Acc [59.13]	 Train Time [9.51]
Round [18/200]	 Train Loss [1.1949]	 Train Acc [56.81]	 Train Time [9.14]
Round [19/200]	 Train Loss [1.1893]	 Train Acc [57.91]	 Train Time [7.43]
Round [20/200]	 Train Loss [1.0962]	 Train Acc [60.86]	 Test Loss [1.8437|1.1248]	 Test Acc [29.33(12.95)|60.77(10.47)]	 Train Time [10.17]
Round [21/200]	 Train Loss [1.1793]	 Train Acc [58.11]	 Train Time [11.97]
Round [22/200]	 Train Loss [1.1184]	 Train Acc [60.56]	 Train Time [11.97]
Round [23/200]	 Train Loss [1.0719]	 Train Acc [62.74]	 Train Time [11.77]
Round [24/200]	 Train Loss [1.1218]	 Train Acc [60.57]	 Train Time [9.30]
Round [25/200]	 Train Loss [1.1218]	 Train Acc [60.63]	 Train Time [8.63]
Round [26/200]	 Train Loss [1.0298]	 Train Acc [63.54]	 Train Time [16.13]
Round [27/200]	 Train Loss [1.0402]	 Train Acc [63.15]	 Train Time [11.84]
Round [28/200]	 Train Loss [1.0534]	 Train Acc [62.56]	 Train Time [8.00]
Round [29/200]	 Train Loss [1.0281]	 Train Acc [64.14]	 Train Time [9.86]
Round [30/200]	 Train Loss [1.0030]	 Train Acc [64.21]	 Train Time [11.98]
Round [31/200]	 Train Loss [0.9992]	 Train Acc [65.29]	 Train Time [9.65]
Round [32/200]	 Train Loss [0.9741]	 Train Acc [65.61]	 Train Time [11.38]
Round [33/200]	 Train Loss [0.9417]	 Train Acc [66.94]	 Train Time [6.83]
Round [34/200]	 Train Loss [1.0088]	 Train Acc [64.64]	 Train Time [7.61]
Round [35/200]	 Train Loss [0.9450]	 Train Acc [67.99]	 Train Time [11.95]
Round [36/200]	 Train Loss [0.9664]	 Train Acc [65.86]	 Train Time [9.64]
Round [37/200]	 Train Loss [0.9961]	 Train Acc [66.03]	 Train Time [9.84]
Round [38/200]	 Train Loss [0.9291]	 Train Acc [67.52]	 Train Time [10.55]
Round [39/200]	 Train Loss [0.9422]	 Train Acc [66.85]	 Train Time [11.64]
Round [40/200]	 Train Loss [0.8846]	 Train Acc [68.91]	 Test Loss [1.5639|1.0106]	 Test Acc [42.77(11.70)|65.79(9.08)]	 Train Time [8.99]
Round [41/200]	 Train Loss [0.8820]	 Train Acc [69.49]	 Train Time [12.26]
Round [42/200]	 Train Loss [0.9043]	 Train Acc [67.84]	 Train Time [10.50]
Round [43/200]	 Train Loss [0.8492]	 Train Acc [70.22]	 Train Time [13.47]
Round [44/200]	 Train Loss [0.9013]	 Train Acc [68.90]	 Train Time [8.59]
Round [45/200]	 Train Loss [0.9066]	 Train Acc [68.46]	 Train Time [7.21]
Round [46/200]	 Train Loss [0.8685]	 Train Acc [70.01]	 Train Time [11.19]
Round [47/200]	 Train Loss [0.8400]	 Train Acc [70.78]	 Train Time [7.76]
Round [48/200]	 Train Loss [0.8758]	 Train Acc [69.55]	 Train Time [9.93]
Round [49/200]	 Train Loss [0.8423]	 Train Acc [70.80]	 Train Time [10.87]
Round [50/200]	 Train Loss [0.8499]	 Train Acc [70.36]	 Train Time [8.46]
Round [51/200]	 Train Loss [0.8384]	 Train Acc [69.94]	 Train Time [9.19]
Round [52/200]	 Train Loss [0.8243]	 Train Acc [70.61]	 Train Time [11.92]
