Training FedAvg...
Round [1/200]	 Train Loss [2.1859]	 Train Acc [32.10]	 Train Time [8.30]
Round [2/200]	 Train Loss [2.0801]	 Train Acc [37.21]	 Train Time [7.30]
Round [3/200]	 Train Loss [1.9417]	 Train Acc [36.67]	 Train Time [5.14]
Round [4/200]	 Train Loss [1.7633]	 Train Acc [40.01]	 Train Time [5.57]
Round [5/200]	 Train Loss [1.8218]	 Train Acc [35.84]	 Train Time [5.35]
Round [6/200]	 Train Loss [1.6775]	 Train Acc [40.39]	 Train Time [6.76]
Round [7/200]	 Train Loss [1.6707]	 Train Acc [40.12]	 Train Time [6.31]
Round [8/200]	 Train Loss [1.7223]	 Train Acc [40.24]	 Train Time [4.04]
Round [9/200]	 Train Loss [1.5449]	 Train Acc [45.35]	 Train Time [5.91]
Round [10/200]	 Train Loss [1.5616]	 Train Acc [43.55]	 Train Time [6.73]
Round [11/200]	 Train Loss [1.4784]	 Train Acc [48.97]	 Train Time [5.36]
Round [12/200]	 Train Loss [1.5141]	 Train Acc [47.25]	 Train Time [4.63]
Round [13/200]	 Train Loss [1.5026]	 Train Acc [48.05]	 Train Time [5.24]
Round [14/200]	 Train Loss [1.4918]	 Train Acc [47.71]	 Train Time [5.91]
Round [15/200]	 Train Loss [1.4787]	 Train Acc [48.39]	 Train Time [7.49]
Round [16/200]	 Train Loss [1.5382]	 Train Acc [45.37]	 Train Time [4.75]
Round [17/200]	 Train Loss [1.5338]	 Train Acc [45.84]	 Train Time [7.24]
Round [18/200]	 Train Loss [1.4630]	 Train Acc [48.07]	 Train Time [5.39]
Round [19/200]	 Train Loss [1.4517]	 Train Acc [49.02]	 Train Time [7.14]
Round [20/200]	 Train Loss [1.4281]	 Train Acc [50.57]	 Test Loss [2.0318|1.3188]	 Test Acc [22.66(12.64)|53.30(11.21)]	 Train Time [6.34]
Round [21/200]	 Train Loss [1.4595]	 Train Acc [50.19]	 Train Time [3.84]
Round [22/200]	 Train Loss [1.4889]	 Train Acc [47.35]	 Train Time [5.94]
Round [23/200]	 Train Loss [1.4447]	 Train Acc [50.25]	 Train Time [5.84]
Round [24/200]	 Train Loss [1.3739]	 Train Acc [52.55]	 Train Time [6.26]
Round [25/200]	 Train Loss [1.4196]	 Train Acc [51.29]	 Train Time [4.95]
Round [26/200]	 Train Loss [1.2377]	 Train Acc [57.28]	 Train Time [6.91]
Round [27/200]	 Train Loss [1.3921]	 Train Acc [51.49]	 Train Time [4.64]
Round [28/200]	 Train Loss [1.3644]	 Train Acc [51.73]	 Train Time [5.46]
Round [29/200]	 Train Loss [1.3233]	 Train Acc [54.47]	 Train Time [5.09]
Round [30/200]	 Train Loss [1.3176]	 Train Acc [55.13]	 Train Time [5.83]
Round [31/200]	 Train Loss [1.2772]	 Train Acc [54.86]	 Train Time [4.47]
Round [32/200]	 Train Loss [1.2835]	 Train Acc [55.85]	 Train Time [7.97]
Round [33/200]	 Train Loss [1.2432]	 Train Acc [57.55]	 Train Time [5.13]
Round [34/200]	 Train Loss [1.2495]	 Train Acc [56.32]	 Train Time [6.92]
