Round [1/200]	 Train Loss [0.9139]	 Train Acc [75.17]	 Train Time [28.60]
Round [2/200]	 Train Loss [0.7708]	 Train Acc [73.50]	 Train Time [27.43]
Round [3/200]	 Train Loss [0.7193]	 Train Acc [75.71]	 Train Time [24.06]
Round [4/200]	 Train Loss [0.7107]	 Train Acc [76.41]	 Train Time [26.22]
Round [5/200]	 Train Loss [0.6977]	 Train Acc [77.06]	 Train Time [21.89]
Round [6/200]	 Train Loss [0.6831]	 Train Acc [76.84]	 Train Time [15.04]
Round [7/200]	 Train Loss [0.7146]	 Train Acc [75.87]	 Train Time [16.50]
Round [8/200]	 Train Loss [0.7036]	 Train Acc [73.96]	 Train Time [14.42]
Round [9/200]	 Train Loss [0.6777]	 Train Acc [76.13]	 Train Time [24.10]
Round [10/200]	 Train Loss [0.5357]	 Train Acc [81.95]	 Train Time [24.73]
Round [11/200]	 Train Loss [0.5229]	 Train Acc [81.44]	 Train Time [27.91]
Round [12/200]	 Train Loss [0.5243]	 Train Acc [81.84]	 Train Time [17.71]
Round [13/200]	 Train Loss [0.4559]	 Train Acc [84.65]	 Train Time [21.75]
Round [14/200]	 Train Loss [0.5664]	 Train Acc [79.01]	 Train Time [22.52]
Round [15/200]	 Train Loss [0.5908]	 Train Acc [78.67]	 Train Time [17.58]
Round [16/200]	 Train Loss [0.5553]	 Train Acc [80.38]	 Train Time [18.78]
Round [17/200]	 Train Loss [0.3852]	 Train Acc [87.34]	 Train Time [29.76]
Round [18/200]	 Train Loss [0.4680]	 Train Acc [84.16]	 Train Time [35.17]
Round [19/200]	 Train Loss [0.4563]	 Train Acc [84.46]	 Train Time [22.26]
Round [20/200]	 Train Loss [0.4513]	 Train Acc [85.21]	 Test Loss [1.9351|0.4150]	 Test Acc [29.77(21.79)|85.66(14.77)]	 Train Time [20.22]
Round [21/200]	 Train Loss [0.4923]	 Train Acc [82.97]	 Train Time [23.78]
Round [22/200]	 Train Loss [0.4085]	 Train Acc [85.90]	 Train Time [21.22]
Round [23/200]	 Train Loss [0.5056]	 Train Acc [81.69]	 Train Time [19.11]
Round [24/200]	 Train Loss [0.3567]	 Train Acc [87.90]	 Train Time [24.11]
Round [25/200]	 Train Loss [0.4718]	 Train Acc [84.11]	 Train Time [15.76]
Round [26/200]	 Train Loss [0.3848]	 Train Acc [87.06]	 Train Time [25.72]
Round [27/200]	 Train Loss [0.4478]	 Train Acc [83.86]	 Train Time [25.07]
Round [28/200]	 Train Loss [0.4017]	 Train Acc [86.60]	 Train Time [30.22]
Round [29/200]	 Train Loss [0.4199]	 Train Acc [85.16]	 Train Time [22.90]
Round [30/200]	 Train Loss [0.4056]	 Train Acc [86.24]	 Train Time [29.54]
Round [31/200]	 Train Loss [0.4706]	 Train Acc [82.81]	 Train Time [24.98]
Round [32/200]	 Train Loss [0.3471]	 Train Acc [88.70]	 Train Time [26.06]
Round [33/200]	 Train Loss [0.3224]	 Train Acc [88.69]	 Train Time [24.53]
Round [34/200]	 Train Loss [0.3798]	 Train Acc [86.72]	 Train Time [23.60]
Round [35/200]	 Train Loss [0.4386]	 Train Acc [84.45]	 Train Time [25.98]
Round [36/200]	 Train Loss [0.4284]	 Train Acc [85.53]	 Train Time [25.80]
Round [37/200]	 Train Loss [0.4704]	 Train Acc [83.54]	 Train Time [27.55]
Round [38/200]	 Train Loss [0.3507]	 Train Acc [87.79]	 Train Time [24.68]
Round [39/200]	 Train Loss [0.3700]	 Train Acc [87.35]	 Train Time [21.01]
Round [40/200]	 Train Loss [0.3331]	 Train Acc [88.70]	 Test Loss [1.5082|0.3705]	 Test Acc [42.89(21.35)|87.76(14.48)]	 Train Time [31.05]
Round [41/200]	 Train Loss [0.3560]	 Train Acc [87.77]	 Train Time [16.13]
Round [42/200]	 Train Loss [0.4097]	 Train Acc [86.10]	 Train Time [16.69]
Round [43/200]	 Train Loss [0.4692]	 Train Acc [83.81]	 Train Time [24.14]
Round [44/200]	 Train Loss [0.4197]	 Train Acc [85.26]	 Train Time [23.39]
Round [45/200]	 Train Loss [0.3066]	 Train Acc [89.55]	 Train Time [34.83]
Round [46/200]	 Train Loss [0.3563]	 Train Acc [87.62]	 Train Time [27.03]
Round [47/200]	 Train Loss [0.2795]	 Train Acc [90.55]	 Train Time [22.29]
Round [48/200]	 Train Loss [0.4107]	 Train Acc [86.17]	 Train Time [12.26]
Round [49/200]	 Train Loss [0.3341]	 Train Acc [88.74]	 Train Time [27.17]
Round [50/200]	 Train Loss [0.3939]	 Train Acc [86.85]	 Train Time [15.00]
Round [51/200]	 Train Loss [0.3651]	 Train Acc [87.56]	 Train Time [23.92]
Round [52/200]	 Train Loss [0.4096]	 Train Acc [85.75]	 Train Time [24.16]
Round [53/200]	 Train Loss [0.3082]	 Train Acc [90.02]	 Train Time [23.04]
Round [54/200]	 Train Loss [0.3643]	 Train Acc [87.63]	 Train Time [25.54]
Round [55/200]	 Train Loss [0.3667]	 Train Acc [87.34]	 Train Time [21.92]
Round [56/200]	 Train Loss [0.2670]	 Train Acc [91.10]	 Train Time [29.33]
Round [57/200]	 Train Loss [0.2572]	 Train Acc [91.61]	 Train Time [25.05]
Round [58/200]	 Train Loss [0.3920]	 Train Acc [86.41]	 Train Time [21.37]
Round [59/200]	 Train Loss [0.3226]	 Train Acc [88.88]	 Train Time [24.54]
