Training FedAvg...
Round [1/200]	 Train Loss [1.7599]	 Train Acc [41.50]	 Train Time [19.90]
Round [2/200]	 Train Loss [1.5607]	 Train Acc [44.92]	 Train Time [22.92]
Round [3/200]	 Train Loss [1.4986]	 Train Acc [46.66]	 Train Time [17.10]
Round [4/200]	 Train Loss [1.3256]	 Train Acc [51.38]	 Train Time [14.77]
Round [5/200]	 Train Loss [1.2303]	 Train Acc [55.32]	 Train Time [15.11]
Round [6/200]	 Train Loss [1.2396]	 Train Acc [55.74]	 Train Time [22.95]
Round [7/200]	 Train Loss [1.1798]	 Train Acc [58.24]	 Train Time [18.85]
Round [8/200]	 Train Loss [1.1567]	 Train Acc [58.70]	 Train Time [16.78]
Round [9/200]	 Train Loss [1.1411]	 Train Acc [59.31]	 Train Time [14.48]
Round [10/200]	 Train Loss [1.0482]	 Train Acc [62.84]	 Train Time [18.52]
Round [11/200]	 Train Loss [0.9929]	 Train Acc [65.27]	 Train Time [13.85]
Round [12/200]	 Train Loss [1.0114]	 Train Acc [64.17]	 Train Time [19.08]
Round [13/200]	 Train Loss [0.8837]	 Train Acc [68.56]	 Train Time [16.07]
Round [14/200]	 Train Loss [0.8880]	 Train Acc [68.56]	 Train Time [21.36]
Round [15/200]	 Train Loss [0.8809]	 Train Acc [68.98]	 Train Time [22.21]
Round [16/200]	 Train Loss [0.8299]	 Train Acc [70.90]	 Train Time [17.78]
Round [17/200]	 Train Loss [0.8018]	 Train Acc [71.42]	 Train Time [19.97]
Round [18/200]	 Train Loss [0.7752]	 Train Acc [72.54]	 Train Time [23.06]
Round [19/200]	 Train Loss [0.7974]	 Train Acc [71.95]	 Train Time [19.82]
Round [20/200]	 Train Loss [0.7569]	 Train Acc [73.45]	 Test Loss [1.4437|0.9255]	 Test Acc [47.07(14.27)|67.98(12.48)]	 Train Time [19.55]
Round [21/200]	 Train Loss [0.7428]	 Train Acc [73.77]	 Train Time [16.75]
Round [22/200]	 Train Loss [0.7095]	 Train Acc [74.82]	 Train Time [19.95]
Round [23/200]	 Train Loss [0.7519]	 Train Acc [73.42]	 Train Time [20.39]
Round [24/200]	 Train Loss [0.7145]	 Train Acc [75.00]	 Train Time [15.89]
Round [25/200]	 Train Loss [0.6921]	 Train Acc [75.72]	 Train Time [19.99]
Round [26/200]	 Train Loss [0.6868]	 Train Acc [76.08]	 Train Time [19.91]
Round [27/200]	 Train Loss [0.6164]	 Train Acc [78.82]	 Train Time [14.31]
Round [28/200]	 Train Loss [0.5965]	 Train Acc [79.35]	 Train Time [17.90]
Round [29/200]	 Train Loss [0.5560]	 Train Acc [80.57]	 Train Time [16.42]
Round [30/200]	 Train Loss [0.6400]	 Train Acc [77.74]	 Train Time [17.75]
Round [31/200]	 Train Loss [0.5931]	 Train Acc [79.64]	 Train Time [13.44]
Round [32/200]	 Train Loss [0.6181]	 Train Acc [78.89]	 Train Time [11.29]
Round [33/200]	 Train Loss [0.5709]	 Train Acc [80.60]	 Train Time [18.39]
Round [34/200]	 Train Loss [0.5210]	 Train Acc [82.36]	 Train Time [12.61]
Round [35/200]	 Train Loss [0.5190]	 Train Acc [82.33]	 Train Time [18.19]
Round [36/200]	 Train Loss [0.4712]	 Train Acc [83.98]	 Train Time [18.27]
Round [37/200]	 Train Loss [0.4921]	 Train Acc [83.32]	 Train Time [24.98]
Round [38/200]	 Train Loss [0.4668]	 Train Acc [84.45]	 Train Time [18.69]
Round [39/200]	 Train Loss [0.4663]	 Train Acc [84.51]	 Train Time [17.23]
Round [40/200]	 Train Loss [0.4749]	 Train Acc [84.43]	 Test Loss [1.3254|0.9948]	 Test Acc [55.82(12.85)|70.63(11.52)]	 Train Time [16.52]
Round [41/200]	 Train Loss [0.4285]	 Train Acc [85.76]	 Train Time [19.63]
Round [42/200]	 Train Loss [0.3829]	 Train Acc [87.41]	 Train Time [18.25]
Round [43/200]	 Train Loss [0.4274]	 Train Acc [85.88]	 Train Time [18.30]
Round [44/200]	 Train Loss [0.3828]	 Train Acc [87.46]	 Train Time [23.38]
Round [45/200]	 Train Loss [0.3758]	 Train Acc [87.73]	 Train Time [21.12]
Round [46/200]	 Train Loss [0.3974]	 Train Acc [86.91]	 Train Time [13.97]
Round [47/200]	 Train Loss [0.3505]	 Train Acc [88.72]	 Train Time [15.07]
Round [48/200]	 Train Loss [0.3966]	 Train Acc [87.12]	 Train Time [16.36]
Round [49/200]	 Train Loss [0.3886]	 Train Acc [87.51]	 Train Time [12.37]
Round [50/200]	 Train Loss [0.3619]	 Train Acc [88.25]	 Train Time [19.84]
Round [51/200]	 Train Loss [0.3322]	 Train Acc [89.39]	 Train Time [11.85]
Round [52/200]	 Train Loss [0.3494]	 Train Acc [88.74]	 Train Time [14.31]
Round [53/200]	 Train Loss [0.3609]	 Train Acc [88.32]	 Train Time [18.45]
Round [54/200]	 Train Loss [0.3769]	 Train Acc [87.97]	 Train Time [23.63]
Round [55/200]	 Train Loss [0.3387]	 Train Acc [89.09]	 Train Time [18.84]
Round [56/200]	 Train Loss [0.3306]	 Train Acc [89.30]	 Train Time [13.76]
Round [57/200]	 Train Loss [0.3290]	 Train Acc [89.36]	 Train Time [15.61]
Round [58/200]	 Train Loss [0.3155]	 Train Acc [89.95]	 Train Time [18.68]
Round [59/200]	 Train Loss [0.3190]	 Train Acc [89.66]	 Train Time [19.31]
Round [60/200]	 Train Loss [0.2975]	 Train Acc [90.62]	 Test Loss [1.3340|1.0621]	 Test Acc [58.24(14.37)|73.16(10.43)]	 Train Time [20.81]
Round [61/200]	 Train Loss [0.3151]	 Train Acc [89.95]	 Train Time [25.78]
Round [62/200]	 Train Loss [0.3145]	 Train Acc [89.92]	 Train Time [19.04]
Round [63/200]	 Train Loss [0.2947]	 Train Acc [90.63]	 Train Time [25.34]
Round [64/200]	 Train Loss [0.2948]	 Train Acc [90.61]	 Train Time [19.18]
Round [65/200]	 Train Loss [0.3038]	 Train Acc [90.36]	 Train Time [24.84]
Round [66/200]	 Train Loss [0.2831]	 Train Acc [91.31]	 Train Time [19.87]
Round [67/200]	 Train Loss [0.2823]	 Train Acc [91.10]	 Train Time [21.65]
Round [68/200]	 Train Loss [0.3031]	 Train Acc [90.42]	 Train Time [24.99]
Round [69/200]	 Train Loss [0.2860]	 Train Acc [91.00]	 Train Time [22.21]
Round [70/200]	 Train Loss [0.2765]	 Train Acc [91.21]	 Train Time [27.09]
Round [71/200]	 Train Loss [0.2953]	 Train Acc [90.60]	 Train Time [27.89]
Round [72/200]	 Train Loss [0.2635]	 Train Acc [91.65]	 Train Time [17.73]
Round [73/200]	 Train Loss [0.2822]	 Train Acc [91.20]	 Train Time [14.10]
Round [74/200]	 Train Loss [0.2720]	 Train Acc [91.49]	 Train Time [25.79]
Round [75/200]	 Train Loss [0.2492]	 Train Acc [92.22]	 Train Time [24.00]
Round [76/200]	 Train Loss [0.2575]	 Train Acc [92.07]	 Train Time [26.18]
Round [77/200]	 Train Loss [0.2425]	 Train Acc [92.50]	 Train Time [25.12]
Round [78/200]	 Train Loss [0.2589]	 Train Acc [91.94]	 Train Time [18.14]
Round [79/200]	 Train Loss [0.2615]	 Train Acc [91.85]	 Train Time [31.39]
Round [80/200]	 Train Loss [0.2223]	 Train Acc [93.18]	 Test Loss [1.2531|1.0466]	 Test Acc [61.42(12.76)|74.07(10.76)]	 Train Time [26.69]
Round [81/200]	 Train Loss [0.2502]	 Train Acc [92.18]	 Train Time [17.54]
Round [82/200]	 Train Loss [0.2325]	 Train Acc [92.66]	 Train Time [32.06]
Round [83/200]	 Train Loss [0.2225]	 Train Acc [93.02]	 Train Time [22.87]
Round [84/200]	 Train Loss [0.2409]	 Train Acc [92.52]	 Train Time [17.73]
Round [85/200]	 Train Loss [0.2018]	 Train Acc [93.66]	 Train Time [22.64]
Round [86/200]	 Train Loss [0.2337]	 Train Acc [92.62]	 Train Time [20.06]
Round [87/200]	 Train Loss [0.2278]	 Train Acc [92.87]	 Train Time [19.22]
Round [88/200]	 Train Loss [0.2020]	 Train Acc [93.76]	 Train Time [14.17]
Round [89/200]	 Train Loss [0.2262]	 Train Acc [93.01]	 Train Time [15.72]
Round [90/200]	 Train Loss [0.2241]	 Train Acc [93.00]	 Train Time [13.25]
Round [91/200]	 Train Loss [0.2212]	 Train Acc [93.04]	 Train Time [17.21]
Round [92/200]	 Train Loss [0.2251]	 Train Acc [92.93]	 Train Time [20.88]
Round [93/200]	 Train Loss [0.2301]	 Train Acc [92.76]	 Train Time [17.61]
Round [94/200]	 Train Loss [0.2125]	 Train Acc [93.31]	 Train Time [22.21]
Round [95/200]	 Train Loss [0.2469]	 Train Acc [92.38]	 Train Time [25.30]
Round [96/200]	 Train Loss [0.2035]	 Train Acc [93.60]	 Train Time [22.88]
Round [97/200]	 Train Loss [0.2195]	 Train Acc [93.21]	 Train Time [20.74]
Round [98/200]	 Train Loss [0.2192]	 Train Acc [93.17]	 Train Time [28.39]
Round [99/200]	 Train Loss [0.2046]	 Train Acc [93.69]	 Train Time [23.31]
Round [100/200]	 Train Loss [0.2083]	 Train Acc [93.54]	 Test Loss [1.2564|1.0432]	 Test Acc [61.42(11.60)|74.27(10.80)]	 Train Time [25.38]
Round [101/200]	 Train Loss [0.2196]	 Train Acc [93.20]	 Train Time [14.36]
Round [102/200]	 Train Loss [0.2076]	 Train Acc [93.52]	 Train Time [20.16]
Round [103/200]	 Train Loss [0.2021]	 Train Acc [93.80]	 Train Time [20.63]
Round [104/200]	 Train Loss [0.1956]	 Train Acc [93.86]	 Train Time [24.09]
Round [105/200]	 Train Loss [0.2048]	 Train Acc [93.58]	 Train Time [18.53]
Round [106/200]	 Train Loss [0.1942]	 Train Acc [93.92]	 Train Time [29.78]
Round [107/200]	 Train Loss [0.1957]	 Train Acc [93.87]	 Train Time [24.68]
