Training FedAvg...
Round [1/200]	 Train Loss [3.6921]	 Train Acc [6.33]	 Train Time [12.35]
Round [2/200]	 Train Loss [3.3583]	 Train Acc [8.18]	 Train Time [14.96]
Round [3/200]	 Train Loss [3.2444]	 Train Acc [18.54]	 Train Time [10.65]
Round [4/200]	 Train Loss [2.5857]	 Train Acc [42.86]	 Train Time [11.75]
Round [5/200]	 Train Loss [1.8605]	 Train Acc [58.28]	 Train Time [11.29]
Round [6/200]	 Train Loss [1.4763]	 Train Acc [64.50]	 Train Time [10.99]
Round [7/200]	 Train Loss [1.1857]	 Train Acc [69.75]	 Train Time [11.57]
Round [8/200]	 Train Loss [1.0488]	 Train Acc [72.74]	 Train Time [11.09]
Round [9/200]	 Train Loss [0.8702]	 Train Acc [76.90]	 Train Time [7.52]
Round [10/200]	 Train Loss [0.6660]	 Train Acc [82.54]	 Train Time [15.06]
Round [11/200]	 Train Loss [0.6615]	 Train Acc [82.21]	 Train Time [9.89]
Round [12/200]	 Train Loss [0.5642]	 Train Acc [85.35]	 Train Time [13.42]
Round [13/200]	 Train Loss [0.5367]	 Train Acc [85.89]	 Train Time [10.17]
Round [14/200]	 Train Loss [0.4922]	 Train Acc [87.14]	 Train Time [11.55]
Round [15/200]	 Train Loss [0.4600]	 Train Acc [87.83]	 Train Time [10.59]
Round [16/200]	 Train Loss [0.4362]	 Train Acc [88.45]	 Train Time [15.09]
Round [17/200]	 Train Loss [0.3835]	 Train Acc [89.81]	 Train Time [12.69]
Round [18/200]	 Train Loss [0.3522]	 Train Acc [90.35]	 Train Time [12.29]
Round [19/200]	 Train Loss [0.4049]	 Train Acc [89.36]	 Train Time [10.69]
Round [20/200]	 Train Loss [0.3042]	 Train Acc [91.61]	 Test Loss [1.0110|1.7099]	 Test Acc [77.57(14.85)|75.32(10.18)]	 Train Time [11.11]
Round [21/200]	 Train Loss [0.3583]	 Train Acc [90.33]	 Train Time [10.92]
Round [22/200]	 Train Loss [0.3287]	 Train Acc [91.27]	 Train Time [10.63]
Round [23/200]	 Train Loss [0.2947]	 Train Acc [91.99]	 Train Time [12.03]
Round [24/200]	 Train Loss [0.3449]	 Train Acc [90.42]	 Train Time [9.66]
Round [25/200]	 Train Loss [0.2927]	 Train Acc [92.18]	 Train Time [14.17]
Round [26/200]	 Train Loss [0.2951]	 Train Acc [91.97]	 Train Time [11.40]
Round [27/200]	 Train Loss [0.2746]	 Train Acc [92.21]	 Train Time [11.89]
Round [28/200]	 Train Loss [0.2809]	 Train Acc [92.08]	 Train Time [12.57]
Round [29/200]	 Train Loss [0.2610]	 Train Acc [92.88]	 Train Time [7.97]
Round [30/200]	 Train Loss [0.3099]	 Train Acc [91.57]	 Train Time [11.46]
Round [31/200]	 Train Loss [0.2805]	 Train Acc [92.36]	 Train Time [12.39]
Round [32/200]	 Train Loss [0.2782]	 Train Acc [92.36]	 Train Time [10.16]
Round [33/200]	 Train Loss [0.2802]	 Train Acc [92.40]	 Train Time [14.84]
Round [34/200]	 Train Loss [0.2653]	 Train Acc [92.58]	 Train Time [12.72]
Round [35/200]	 Train Loss [0.2285]	 Train Acc [93.71]	 Train Time [14.72]
Round [36/200]	 Train Loss [0.2158]	 Train Acc [93.61]	 Train Time [8.30]
Round [37/200]	 Train Loss [0.2374]	 Train Acc [93.36]	 Train Time [11.76]
Round [38/200]	 Train Loss [0.2358]	 Train Acc [93.40]	 Train Time [11.29]
Round [39/200]	 Train Loss [0.2444]	 Train Acc [92.97]	 Train Time [10.58]
Round [40/200]	 Train Loss [0.2423]	 Train Acc [93.31]	 Test Loss [0.7995|1.3290]	 Test Acc [80.62(13.87)|80.28(10.18)]	 Train Time [8.19]
Round [41/200]	 Train Loss [0.2394]	 Train Acc [93.20]	 Train Time [14.69]
Round [42/200]	 Train Loss [0.2123]	 Train Acc [94.16]	 Train Time [13.53]
Round [43/200]	 Train Loss [0.2038]	 Train Acc [94.14]	 Train Time [12.70]
Round [44/200]	 Train Loss [0.2478]	 Train Acc [93.06]	 Train Time [10.16]
Round [45/200]	 Train Loss [0.2424]	 Train Acc [93.02]	 Train Time [8.50]
Round [46/200]	 Train Loss [0.2296]	 Train Acc [93.44]	 Train Time [13.61]
Round [47/200]	 Train Loss [0.2169]	 Train Acc [93.87]	 Train Time [9.16]
Round [48/200]	 Train Loss [0.2141]	 Train Acc [93.83]	 Train Time [10.17]
Round [49/200]	 Train Loss [0.2302]	 Train Acc [93.56]	 Train Time [11.68]
Round [50/200]	 Train Loss [0.1985]	 Train Acc [94.20]	 Train Time [9.09]
Round [51/200]	 Train Loss [0.1893]	 Train Acc [94.43]	 Train Time [12.34]
Round [52/200]	 Train Loss [0.2103]	 Train Acc [94.04]	 Train Time [10.40]
Round [53/200]	 Train Loss [0.1882]	 Train Acc [94.58]	 Train Time [10.68]
Round [54/200]	 Train Loss [0.2165]	 Train Acc [93.77]	 Train Time [10.72]
Round [55/200]	 Train Loss [0.1803]	 Train Acc [94.65]	 Train Time [12.83]
Round [56/200]	 Train Loss [0.1839]	 Train Acc [94.57]	 Train Time [10.74]
Round [57/200]	 Train Loss [0.1923]	 Train Acc [94.51]	 Train Time [11.31]
Round [58/200]	 Train Loss [0.1939]	 Train Acc [94.45]	 Train Time [9.57]
Round [59/200]	 Train Loss [0.1790]	 Train Acc [94.89]	 Train Time [13.46]
Round [60/200]	 Train Loss [0.1857]	 Train Acc [94.64]	 Test Loss [0.7437|1.1941]	 Test Acc [82.30(12.01)|81.49(9.58)]	 Train Time [12.26]
Round [61/200]	 Train Loss [0.2055]	 Train Acc [94.12]	 Train Time [10.01]
Round [62/200]	 Train Loss [0.2210]	 Train Acc [93.69]	 Train Time [14.42]
Round [63/200]	 Train Loss [0.1967]	 Train Acc [94.18]	 Train Time [13.75]
Round [64/200]	 Train Loss [0.1470]	 Train Acc [95.69]	 Train Time [9.98]
Round [65/200]	 Train Loss [0.1814]	 Train Acc [94.77]	 Train Time [14.43]
Round [66/200]	 Train Loss [0.1711]	 Train Acc [94.96]	 Train Time [10.65]
Round [67/200]	 Train Loss [0.1758]	 Train Acc [94.70]	 Train Time [8.01]
Round [68/200]	 Train Loss [0.2001]	 Train Acc [94.33]	 Train Time [11.67]
Round [69/200]	 Train Loss [0.1556]	 Train Acc [95.48]	 Train Time [12.87]
Round [70/200]	 Train Loss [0.1412]	 Train Acc [95.83]	 Train Time [8.17]
Round [71/200]	 Train Loss [0.1665]	 Train Acc [95.22]	 Train Time [13.13]
Round [72/200]	 Train Loss [0.1519]	 Train Acc [95.46]	 Train Time [7.78]
Round [73/200]	 Train Loss [0.1579]	 Train Acc [95.26]	 Train Time [6.51]
Round [74/200]	 Train Loss [0.1856]	 Train Acc [94.36]	 Train Time [8.41]
Round [75/200]	 Train Loss [0.1492]	 Train Acc [95.61]	 Train Time [12.20]
Round [76/200]	 Train Loss [0.1771]	 Train Acc [94.84]	 Train Time [11.36]
Round [77/200]	 Train Loss [0.1708]	 Train Acc [94.98]	 Train Time [11.96]
