Training FedAvg...
Round [1/200]	 Train Loss [4.6671]	 Train Acc [4.84]	 Train Time [138.78]
Round [2/200]	 Train Loss [4.4474]	 Train Acc [7.24]	 Train Time [129.69]
Round [3/200]	 Train Loss [4.2217]	 Train Acc [10.22]	 Train Time [121.04]
Round [4/200]	 Train Loss [3.9299]	 Train Acc [13.87]	 Train Time [163.24]
Round [5/200]	 Train Loss [3.6220]	 Train Acc [19.20]	 Train Time [124.94]
Round [6/200]	 Train Loss [3.2677]	 Train Acc [26.33]	 Train Time [91.88]
Round [7/200]	 Train Loss [2.8309]	 Train Acc [36.97]	 Train Time [140.96]
Round [8/200]	 Train Loss [2.4794]	 Train Acc [45.41]	 Train Time [129.90]
Round [9/200]	 Train Loss [2.2750]	 Train Acc [50.46]	 Train Time [76.07]
Round [10/200]	 Train Loss [2.0003]	 Train Acc [56.98]	 Train Time [92.50]
Round [11/200]	 Train Loss [1.8709]	 Train Acc [59.91]	 Train Time [127.77]
Round [12/200]	 Train Loss [1.6581]	 Train Acc [64.35]	 Train Time [121.37]
Round [13/200]	 Train Loss [1.6027]	 Train Acc [65.80]	 Train Time [128.08]
Round [14/200]	 Train Loss [1.5108]	 Train Acc [67.79]	 Train Time [154.00]
Round [15/200]	 Train Loss [1.4050]	 Train Acc [70.10]	 Train Time [124.30]
Round [16/200]	 Train Loss [1.3440]	 Train Acc [71.22]	 Train Time [121.03]
Round [17/200]	 Train Loss [1.2859]	 Train Acc [72.65]	 Train Time [138.21]
Round [18/200]	 Train Loss [1.2188]	 Train Acc [73.93]	 Train Time [112.04]
Round [19/200]	 Train Loss [1.1774]	 Train Acc [74.90]	 Train Time [144.70]
Round [20/200]	 Train Loss [1.0923]	 Train Acc [76.34]	 Test Loss [4.5007|4.4920]	 Test Acc [11.66(4.44)|16.51(4.98)]	 Train Time [96.65]
Round [21/200]	 Train Loss [1.0892]	 Train Acc [76.58]	 Train Time [137.34]
Round [22/200]	 Train Loss [1.0707]	 Train Acc [77.05]	 Train Time [111.67]
Round [23/200]	 Train Loss [1.0188]	 Train Acc [78.07]	 Train Time [107.64]
Round [24/200]	 Train Loss [0.9901]	 Train Acc [78.69]	 Train Time [129.50]
Round [25/200]	 Train Loss [0.9930]	 Train Acc [78.60]	 Train Time [148.58]
Round [26/200]	 Train Loss [0.9444]	 Train Acc [79.44]	 Train Time [100.22]
Round [27/200]	 Train Loss [0.9171]	 Train Acc [79.95]	 Train Time [113.53]
Round [28/200]	 Train Loss [0.8774]	 Train Acc [80.82]	 Train Time [90.95]
Round [29/200]	 Train Loss [0.8142]	 Train Acc [81.95]	 Train Time [108.36]
Round [30/200]	 Train Loss [0.8397]	 Train Acc [81.46]	 Train Time [108.60]
Round [31/200]	 Train Loss [0.8123]	 Train Acc [82.01]	 Train Time [129.38]
Round [32/200]	 Train Loss [0.7613]	 Train Acc [82.87]	 Train Time [116.71]
Round [33/200]	 Train Loss [0.7599]	 Train Acc [82.95]	 Train Time [100.15]
Round [34/200]	 Train Loss [0.7336]	 Train Acc [83.35]	 Train Time [117.35]
Round [35/200]	 Train Loss [0.7615]	 Train Acc [82.94]	 Train Time [149.70]
Round [36/200]	 Train Loss [0.6912]	 Train Acc [84.30]	 Train Time [149.82]
Round [37/200]	 Train Loss [0.7308]	 Train Acc [83.35]	 Train Time [129.46]
Round [38/200]	 Train Loss [0.6784]	 Train Acc [84.36]	 Train Time [99.82]
Round [39/200]	 Train Loss [0.6747]	 Train Acc [84.55]	 Train Time [150.40]
Round [40/200]	 Train Loss [0.6870]	 Train Acc [84.19]	 Test Loss [4.5342|4.6694]	 Test Acc [14.38(4.76)|17.23(5.16)]	 Train Time [133.02]
Round [41/200]	 Train Loss [0.6690]	 Train Acc [84.49]	 Train Time [100.33]
Round [42/200]	 Train Loss [0.6373]	 Train Acc [85.21]	 Train Time [120.84]
Round [43/200]	 Train Loss [0.6834]	 Train Acc [84.25]	 Train Time [141.10]
Round [44/200]	 Train Loss [0.5862]	 Train Acc [86.09]	 Train Time [157.18]
Round [45/200]	 Train Loss [0.5647]	 Train Acc [86.65]	 Train Time [127.71]
Round [46/200]	 Train Loss [0.6043]	 Train Acc [85.46]	 Train Time [116.12]
Round [47/200]	 Train Loss [0.5458]	 Train Acc [86.90]	 Train Time [112.72]
Round [48/200]	 Train Loss [0.5076]	 Train Acc [87.65]	 Train Time [119.40]
Round [49/200]	 Train Loss [0.5111]	 Train Acc [87.77]	 Train Time [146.17]
Round [50/200]	 Train Loss [0.5456]	 Train Acc [86.88]	 Train Time [99.95]
Round [51/200]	 Train Loss [0.5671]	 Train Acc [86.39]	 Train Time [137.04]
Round [52/200]	 Train Loss [0.4467]	 Train Acc [89.26]	 Train Time [121.15]
Round [53/200]	 Train Loss [0.4794]	 Train Acc [88.20]	 Train Time [115.69]
Round [54/200]	 Train Loss [0.4779]	 Train Acc [88.11]	 Train Time [129.04]
Round [55/200]	 Train Loss [0.5127]	 Train Acc [87.64]	 Train Time [157.73]
Round [56/200]	 Train Loss [0.4856]	 Train Acc [88.29]	 Train Time [129.32]
Round [57/200]	 Train Loss [0.4979]	 Train Acc [87.90]	 Train Time [113.22]
Round [58/200]	 Train Loss [0.4315]	 Train Acc [89.33]	 Train Time [126.07]
Round [59/200]	 Train Loss [0.3813]	 Train Acc [90.67]	 Train Time [96.37]
Round [60/200]	 Train Loss [0.4890]	 Train Acc [87.98]	 Test Loss [4.9695|5.2128]	 Test Acc [13.39(5.01)|16.26(5.56)]	 Train Time [129.41]
Round [61/200]	 Train Loss [0.4671]	 Train Acc [88.26]	 Train Time [105.63]
Round [62/200]	 Train Loss [0.3773]	 Train Acc [90.59]	 Train Time [126.21]
Round [63/200]	 Train Loss [0.3937]	 Train Acc [90.21]	 Train Time [124.70]
Round [64/200]	 Train Loss [0.3629]	 Train Acc [91.13]	 Train Time [100.13]
Round [65/200]	 Train Loss [0.3867]	 Train Acc [90.75]	 Train Time [129.07]
Round [66/200]	 Train Loss [0.4593]	 Train Acc [88.81]	 Train Time [112.34]
Round [67/200]	 Train Loss [0.3489]	 Train Acc [90.96]	 Train Time [137.33]
Round [68/200]	 Train Loss [0.3584]	 Train Acc [91.02]	 Train Time [152.69]
Round [69/200]	 Train Loss [0.3269]	 Train Acc [91.84]	 Train Time [124.65]
Round [70/200]	 Train Loss [0.3642]	 Train Acc [90.98]	 Train Time [136.71]
Round [71/200]	 Train Loss [0.3842]	 Train Acc [90.53]	 Train Time [125.36]
Round [72/200]	 Train Loss [0.2974]	 Train Acc [92.31]	 Train Time [111.72]
Round [73/200]	 Train Loss [0.3317]	 Train Acc [91.65]	 Train Time [146.82]
Round [74/200]	 Train Loss [0.2799]	 Train Acc [92.91]	 Train Time [120.42]
Round [75/200]	 Train Loss [0.2581]	 Train Acc [93.45]	 Train Time [120.62]
Round [76/200]	 Train Loss [0.3188]	 Train Acc [92.10]	 Train Time [141.89]
Round [77/200]	 Train Loss [0.2789]	 Train Acc [93.14]	 Train Time [112.90]
Round [78/200]	 Train Loss [0.2360]	 Train Acc [94.01]	 Train Time [125.63]
Round [79/200]	 Train Loss [0.2646]	 Train Acc [93.29]	 Train Time [90.11]
Round [80/200]	 Train Loss [0.3417]	 Train Acc [91.37]	 Test Loss [5.3837|5.7199]	 Test Acc [13.80(4.80)|15.88(5.05)]	 Train Time [103.73]
Round [81/200]	 Train Loss [0.2700]	 Train Acc [93.20]	 Train Time [115.89]
Round [82/200]	 Train Loss [0.3245]	 Train Acc [91.87]	 Train Time [95.60]
Round [83/200]	 Train Loss [0.2648]	 Train Acc [93.24]	 Train Time [95.63]
Round [84/200]	 Train Loss [0.3580]	 Train Acc [90.91]	 Train Time [112.42]
Round [85/200]	 Train Loss [0.2752]	 Train Acc [93.05]	 Train Time [136.78]
Round [86/200]	 Train Loss [0.2523]	 Train Acc [93.74]	 Train Time [128.17]
Round [87/200]	 Train Loss [0.2497]	 Train Acc [93.60]	 Train Time [138.23]
