Training FedPac...
Round [1/200]	Train Loss (CE|Proto) [1.6879|0.0004]	Train Acc (Rep) [43.63]	Time [25.02s]
Round [2/200]	Train Loss (CE|Proto) [1.7791|0.0009]	Train Acc (Rep) [40.64]	Time [26.52s]
Round [3/200]	Train Loss (CE|Proto) [1.6187|0.0022]	Train Acc (Rep) [42.56]	Time [29.84s]
Round [4/200]	Train Loss (CE|Proto) [1.6492|0.0027]	Train Acc (Rep) [43.19]	Time [23.41s]
Round [5/200]	Train Loss (CE|Proto) [1.7017|0.0024]	Train Acc (Rep) [42.73]	Time [25.51s]
Round [6/200]	Train Loss (CE|Proto) [1.6181|0.0033]	Train Acc (Rep) [43.32]	Time [30.53s]
Round [7/200]	Train Loss (CE|Proto) [1.5317|0.0041]	Train Acc (Rep) [45.63]	Time [28.09s]
Round [8/200]	Train Loss (CE|Proto) [1.5650|0.0045]	Train Acc (Rep) [43.00]	Time [35.49s]
Round [9/200]	Train Loss (CE|Proto) [1.5391|0.0061]	Train Acc (Rep) [45.24]	Time [27.59s]
Round [10/200]	Train Loss (CE|Proto) [1.5105|0.0073]	Train Acc (Rep) [46.56]	Time [31.42s]
Round [11/200]	Train Loss (CE|Proto) [1.3762|0.0085]	Train Acc (Rep) [52.68]	Time [20.89s]
Round [12/200]	Train Loss (CE|Proto) [1.3677|0.0108]	Train Acc (Rep) [50.14]	Time [27.22s]
Round [13/200]	Train Loss (CE|Proto) [1.5049|0.0092]	Train Acc (Rep) [49.07]	Time [33.31s]
Round [14/200]	Train Loss (CE|Proto) [1.3922|0.0091]	Train Acc (Rep) [51.09]	Time [37.49s]
Round [15/200]	Train Loss (CE|Proto) [1.3630|0.0092]	Train Acc (Rep) [51.33]	Time [31.71s]
Round [16/200]	Train Loss (CE|Proto) [1.3895|0.0092]	Train Acc (Rep) [51.91]	Time [22.51s]
Round [17/200]	Train Loss (CE|Proto) [1.4361|0.0092]	Train Acc (Rep) [49.53]	Time [25.51s]
Round [18/200]	Train Loss (CE|Proto) [1.3940|0.0101]	Train Acc (Rep) [52.81]	Time [28.68s]
Round [19/200]	Train Loss (CE|Proto) [1.3322|0.0096]	Train Acc (Rep) [53.37]	Time [29.35s]
Round [20/200]	Train Loss (CE|Proto) [1.4012|0.0103]	Train Acc (Rep) [50.58]	Test Loss (Global|Pers) [2.2017|1.4135]	Test Acc (Global|Pers) [19.73(14.79)|50.44(14.98)]	Time [33.96s]
Round [21/200]	Train Loss (CE|Proto) [1.3372|0.0097]	Train Acc (Rep) [55.81]	Time [17.34s]
Round [22/200]	Train Loss (CE|Proto) [1.4161|0.0097]	Train Acc (Rep) [50.49]	Time [36.35s]
Round [23/200]	Train Loss (CE|Proto) [1.4587|0.0099]	Train Acc (Rep) [49.88]	Time [35.27s]
Round [24/200]	Train Loss (CE|Proto) [1.4299|0.0097]	Train Acc (Rep) [51.34]	Time [20.24s]
Round [25/200]	Train Loss (CE|Proto) [1.4016|0.0109]	Train Acc (Rep) [51.27]	Time [30.87s]
Round [26/200]	Train Loss (CE|Proto) [1.3045|0.0110]	Train Acc (Rep) [54.63]	Time [30.42s]
Round [27/200]	Train Loss (CE|Proto) [1.3292|0.0105]	Train Acc (Rep) [53.44]	Time [33.57s]
Round [28/200]	Train Loss (CE|Proto) [1.3414|0.0112]	Train Acc (Rep) [53.66]	Time [30.47s]
Round [29/200]	Train Loss (CE|Proto) [1.2744|0.0111]	Train Acc (Rep) [57.44]	Time [31.50s]
Round [30/200]	Train Loss (CE|Proto) [1.3155|0.0109]	Train Acc (Rep) [55.01]	Time [19.13s]
Round [31/200]	Train Loss (CE|Proto) [1.3502|0.0113]	Train Acc (Rep) [55.10]	Time [35.86s]
Round [32/200]	Train Loss (CE|Proto) [1.2918|0.0109]	Train Acc (Rep) [56.45]	Time [28.92s]
Round [33/200]	Train Loss (CE|Proto) [1.3014|0.0114]	Train Acc (Rep) [55.98]	Time [28.03s]
Round [34/200]	Train Loss (CE|Proto) [1.3166|0.0118]	Train Acc (Rep) [54.74]	Time [25.39s]
Round [35/200]	Train Loss (CE|Proto) [1.2718|0.0121]	Train Acc (Rep) [56.82]	Time [26.67s]
