Training pFedFDA...
Round [1/200]	 Train Loss [4.0947]	 Train Acc [8.26]	 Train Time [19.02]
Round [2/200]	 Train Loss [3.8070]	 Train Acc [11.02]	 Train Time [25.47]
Round [3/200]	 Train Loss [3.4746]	 Train Acc [15.19]	 Train Time [32.82]
Round [4/200]	 Train Loss [3.2724]	 Train Acc [18.19]	 Train Time [32.56]
Round [5/200]	 Train Loss [3.1557]	 Train Acc [20.50]	 Train Time [34.74]
Round [6/200]	 Train Loss [3.1028]	 Train Acc [21.53]	 Train Time [43.59]
Round [7/200]	 Train Loss [3.0224]	 Train Acc [23.21]	 Train Time [47.84]
Round [8/200]	 Train Loss [3.0120]	 Train Acc [23.38]	 Train Time [41.65]
Round [9/200]	 Train Loss [2.9269]	 Train Acc [25.53]	 Train Time [32.08]
Round [10/200]	 Train Loss [2.8866]	 Train Acc [26.33]	 Train Time [24.18]
Round [11/200]	 Train Loss [2.7937]	 Train Acc [28.36]	 Train Time [38.85]
Round [12/200]	 Train Loss [2.6782]	 Train Acc [30.59]	 Train Time [38.68]
Round [13/200]	 Train Loss [2.6289]	 Train Acc [32.13]	 Train Time [44.34]
Round [14/200]	 Train Loss [2.4945]	 Train Acc [35.03]	 Train Time [35.05]
Round [15/200]	 Train Loss [2.4529]	 Train Acc [36.55]	 Train Time [42.88]
Round [16/200]	 Train Loss [2.3273]	 Train Acc [38.99]	 Train Time [47.30]
Round [17/200]	 Train Loss [2.2678]	 Train Acc [40.89]	 Train Time [47.21]
Round [18/200]	 Train Loss [2.1454]	 Train Acc [43.91]	 Train Time [49.10]
Round [19/200]	 Train Loss [2.0543]	 Train Acc [45.65]	 Train Time [24.29]
KL Divergence: μ=4.9572
Round [20/200]	 Train Loss [2.1208]	 Train Acc [45.26]	 Test Loss [3.2919]	 Test Acc [26.98(5.82)]	 Train Time [36.95]
Round [21/200]	 Train Loss [1.9659]	 Train Acc [49.06]	 Train Time [36.07]
Round [22/200]	 Train Loss [1.7709]	 Train Acc [54.04]	 Train Time [37.72]
Round [23/200]	 Train Loss [1.8336]	 Train Acc [52.94]	 Train Time [40.67]
Round [24/200]	 Train Loss [1.6720]	 Train Acc [56.90]	 Train Time [42.96]
Round [25/200]	 Train Loss [1.5107]	 Train Acc [60.78]	 Train Time [50.24]
Round [26/200]	 Train Loss [1.5486]	 Train Acc [60.66]	 Train Time [40.26]
Round [27/200]	 Train Loss [1.5465]	 Train Acc [60.70]	 Train Time [41.27]
Round [28/200]	 Train Loss [1.4068]	 Train Acc [64.05]	 Train Time [51.44]
Round [29/200]	 Train Loss [1.4583]	 Train Acc [63.16]	 Train Time [39.52]
Round [30/200]	 Train Loss [1.3893]	 Train Acc [65.02]	 Train Time [37.28]
Round [31/200]	 Train Loss [1.3066]	 Train Acc [66.93]	 Train Time [29.29]
Round [32/200]	 Train Loss [1.3534]	 Train Acc [66.53]	 Train Time [34.23]
Round [33/200]	 Train Loss [1.2323]	 Train Acc [69.29]	 Train Time [39.10]
Round [34/200]	 Train Loss [1.3666]	 Train Acc [66.14]	 Train Time [39.72]
Round [35/200]	 Train Loss [1.2120]	 Train Acc [69.82]	 Train Time [30.05]
Round [36/200]	 Train Loss [1.2907]	 Train Acc [67.97]	 Train Time [25.83]
Round [37/200]	 Train Loss [1.1729]	 Train Acc [70.95]	 Train Time [38.77]
Round [38/200]	 Train Loss [1.2436]	 Train Acc [69.60]	 Train Time [33.57]
Round [39/200]	 Train Loss [1.1258]	 Train Acc [72.47]	 Train Time [30.38]
KL Divergence: μ=6.0776
Round [40/200]	 Train Loss [1.0964]	 Train Acc [72.87]	 Test Loss [3.4771]	 Test Acc [30.78(6.28)]	 Train Time [34.88]
Round [41/200]	 Train Loss [0.9965]	 Train Acc [75.38]	 Train Time [33.91]
Round [42/200]	 Train Loss [1.1218]	 Train Acc [72.57]	 Train Time [43.83]
Round [43/200]	 Train Loss [1.0401]	 Train Acc [74.45]	 Train Time [41.23]
Round [44/200]	 Train Loss [1.0069]	 Train Acc [75.36]	 Train Time [31.01]
Round [45/200]	 Train Loss [1.1340]	 Train Acc [72.60]	 Train Time [33.01]
Round [46/200]	 Train Loss [1.1398]	 Train Acc [72.31]	 Train Time [31.22]
Round [47/200]	 Train Loss [1.0420]	 Train Acc [74.40]	 Train Time [42.96]
Round [48/200]	 Train Loss [1.1059]	 Train Acc [73.10]	 Train Time [34.68]
Round [49/200]	 Train Loss [1.2354]	 Train Acc [69.93]	 Train Time [25.18]
Round [50/200]	 Train Loss [1.0263]	 Train Acc [75.08]	 Train Time [40.21]
Round [51/200]	 Train Loss [0.9222]	 Train Acc [77.24]	 Train Time [27.01]
Round [52/200]	 Train Loss [0.9602]	 Train Acc [76.65]	 Train Time [34.29]
Round [53/200]	 Train Loss [0.8997]	 Train Acc [77.79]	 Train Time [33.70]
Round [54/200]	 Train Loss [1.0767]	 Train Acc [73.88]	 Train Time [35.35]
Round [55/200]	 Train Loss [0.8581]	 Train Acc [79.05]	 Train Time [40.14]
Round [56/200]	 Train Loss [0.9985]	 Train Acc [75.78]	 Train Time [38.85]
Round [57/200]	 Train Loss [0.9275]	 Train Acc [77.41]	 Train Time [44.62]
Round [58/200]	 Train Loss [0.8259]	 Train Acc [79.60]	 Train Time [31.10]
Round [59/200]	 Train Loss [0.8311]	 Train Acc [80.07]	 Train Time [28.76]
KL Divergence: μ=6.7782
Round [60/200]	 Train Loss [0.8492]	 Train Acc [79.45]	 Test Loss [3.6199]	 Test Acc [31.30(6.16)]	 Train Time [32.68]
Round [61/200]	 Train Loss [1.0388]	 Train Acc [75.00]	 Train Time [30.88]
Round [62/200]	 Train Loss [0.9799]	 Train Acc [76.33]	 Train Time [34.53]
Round [63/200]	 Train Loss [0.8980]	 Train Acc [78.28]	 Train Time [42.81]
Round [64/200]	 Train Loss [0.9000]	 Train Acc [78.20]	 Train Time [34.29]
Round [65/200]	 Train Loss [0.7484]	 Train Acc [81.50]	 Train Time [31.31]
Round [66/200]	 Train Loss [0.9547]	 Train Acc [76.83]	 Train Time [25.26]
Round [67/200]	 Train Loss [0.8508]	 Train Acc [79.63]	 Train Time [40.48]
Round [68/200]	 Train Loss [0.8812]	 Train Acc [78.51]	 Train Time [33.82]
Round [69/200]	 Train Loss [0.8710]	 Train Acc [78.99]	 Train Time [34.23]
Round [70/200]	 Train Loss [0.7386]	 Train Acc [82.14]	 Train Time [26.52]
Round [71/200]	 Train Loss [0.8567]	 Train Acc [79.21]	 Train Time [35.30]
Round [72/200]	 Train Loss [0.8104]	 Train Acc [80.47]	 Train Time [31.67]
Round [73/200]	 Train Loss [0.8205]	 Train Acc [80.15]	 Train Time [33.48]
Round [74/200]	 Train Loss [0.8711]	 Train Acc [78.91]	 Train Time [27.29]
Round [75/200]	 Train Loss [0.8703]	 Train Acc [78.87]	 Train Time [23.76]
Round [76/200]	 Train Loss [0.7570]	 Train Acc [81.63]	 Train Time [35.04]
Round [77/200]	 Train Loss [0.8236]	 Train Acc [79.98]	 Train Time [39.64]
Round [78/200]	 Train Loss [0.8784]	 Train Acc [78.81]	 Train Time [37.18]
Round [79/200]	 Train Loss [0.6894]	 Train Acc [83.14]	 Train Time [26.20]
KL Divergence: μ=7.0933
Round [80/200]	 Train Loss [0.7332]	 Train Acc [82.35]	 Test Loss [3.7030]	 Test Acc [31.60(6.27)]	 Train Time [26.22]
Round [81/200]	 Train Loss [0.8837]	 Train Acc [78.85]	 Train Time [36.55]
Round [82/200]	 Train Loss [0.8019]	 Train Acc [80.63]	 Train Time [31.49]
Round [83/200]	 Train Loss [0.7737]	 Train Acc [81.31]	 Train Time [46.13]
Round [84/200]	 Train Loss [0.6977]	 Train Acc [82.72]	 Train Time [41.34]
Round [85/200]	 Train Loss [0.7275]	 Train Acc [82.26]	 Train Time [37.39]
Round [86/200]	 Train Loss [0.8421]	 Train Acc [79.92]	 Train Time [28.66]
Round [87/200]	 Train Loss [0.7320]	 Train Acc [82.12]	 Train Time [33.29]
Round [88/200]	 Train Loss [0.8108]	 Train Acc [80.39]	 Train Time [26.32]
