Files already downloaded and verified
Files already downloaded and verified
Training pFedFDA...
Round [1/200]	 Train Loss [10.1404]	 Train Acc [14.68]	 Train Time [76.22]
Round [2/200]	 Train Loss [3.7174]	 Train Acc [18.85]	 Train Time [114.48]
Round [3/200]	 Train Loss [3.5667]	 Train Acc [18.16]	 Train Time [128.07]
Round [4/200]	 Train Loss [3.1586]	 Train Acc [23.36]	 Train Time [80.48]
Round [5/200]	 Train Loss [3.1230]	 Train Acc [20.33]	 Train Time [129.60]
Round [6/200]	 Train Loss [2.8963]	 Train Acc [21.88]	 Train Time [102.90]
Round [7/200]	 Train Loss [2.7362]	 Train Acc [24.57]	 Train Time [120.81]
Round [8/200]	 Train Loss [2.6160]	 Train Acc [25.78]	 Train Time [132.53]
Round [9/200]	 Train Loss [2.4336]	 Train Acc [29.99]	 Train Time [119.44]
Round [10/200]	 Train Loss [2.2524]	 Train Acc [35.84]	 Train Time [150.38]
Round [11/200]	 Train Loss [2.1030]	 Train Acc [39.45]	 Train Time [117.08]
Round [12/200]	 Train Loss [1.9510]	 Train Acc [44.10]	 Train Time [88.92]
Round [13/200]	 Train Loss [1.9156]	 Train Acc [45.24]	 Train Time [112.88]
Round [14/200]	 Train Loss [1.7249]	 Train Acc [49.92]	 Train Time [117.20]
Round [15/200]	 Train Loss [1.6932]	 Train Acc [51.42]	 Train Time [97.90]
Round [16/200]	 Train Loss [1.5868]	 Train Acc [54.06]	 Train Time [143.50]
Round [17/200]	 Train Loss [1.5816]	 Train Acc [54.50]	 Train Time [148.82]
Round [18/200]	 Train Loss [1.4134]	 Train Acc [59.63]	 Train Time [94.30]
Round [19/200]	 Train Loss [1.4381]	 Train Acc [59.51]	 Train Time [102.25]
Round [20/200]	 Train Loss [1.3828]	 Train Acc [60.85]	 Test Loss [2.1497]	 Test Acc [40.81(11.36)]	 Train Time [129.16]
Round [21/200]	 Train Loss [1.2971]	 Train Acc [63.97]	 Train Time [78.07]
Round [22/200]	 Train Loss [1.3083]	 Train Acc [63.92]	 Train Time [104.85]
Round [23/200]	 Train Loss [1.2384]	 Train Acc [66.17]	 Train Time [124.02]
Round [24/200]	 Train Loss [1.1498]	 Train Acc [68.20]	 Train Time [120.88]
Round [25/200]	 Train Loss [1.1278]	 Train Acc [69.22]	 Train Time [115.12]
Round [26/200]	 Train Loss [1.0938]	 Train Acc [70.34]	 Train Time [92.67]
Round [27/200]	 Train Loss [0.9983]	 Train Acc [72.88]	 Train Time [114.18]
Round [28/200]	 Train Loss [0.9992]	 Train Acc [73.34]	 Train Time [131.67]
Round [29/200]	 Train Loss [0.9491]	 Train Acc [74.58]	 Train Time [127.33]
Round [30/200]	 Train Loss [0.9575]	 Train Acc [74.43]	 Train Time [123.69]
Round [31/200]	 Train Loss [0.9136]	 Train Acc [75.71]	 Train Time [136.49]
Round [32/200]	 Train Loss [0.8709]	 Train Acc [76.96]	 Train Time [133.90]
Round [33/200]	 Train Loss [0.8385]	 Train Acc [77.80]	 Train Time [123.12]
Round [34/200]	 Train Loss [0.7983]	 Train Acc [78.50]	 Train Time [98.57]
Round [35/200]	 Train Loss [0.7547]	 Train Acc [79.67]	 Train Time [110.50]
Round [36/200]	 Train Loss [0.7779]	 Train Acc [79.07]	 Train Time [103.70]
Round [37/200]	 Train Loss [0.7285]	 Train Acc [80.73]	 Train Time [118.59]
Round [38/200]	 Train Loss [0.7394]	 Train Acc [80.36]	 Train Time [125.83]
Round [39/200]	 Train Loss [0.7005]	 Train Acc [81.56]	 Train Time [96.82]
Round [40/200]	 Train Loss [0.7019]	 Train Acc [81.28]	 Test Loss [2.1377]	 Test Acc [45.63(11.19)]	 Train Time [108.69]
Round [41/200]	 Train Loss [0.7057]	 Train Acc [81.40]	 Train Time [93.10]
Round [42/200]	 Train Loss [0.6703]	 Train Acc [82.39]	 Train Time [108.73]
