Training pFedFDA...
Round [1/200]    Train Loss [2.6085]     Train Acc [28.86]       Train Time [35.14]
Round [2/200]    Train Loss [2.3740]     Train Acc [34.53]       Train Time [28.72]
Round [3/200]    Train Loss [2.0837]     Train Acc [40.51]       Train Time [24.36]
Round [4/200]    Train Loss [1.9625]     Train Acc [43.28]       Train Time [34.07]
Round [5/200]    Train Loss [1.9012]     Train Acc [44.43]       Train Time [32.70]
Round [6/200]    Train Loss [1.7853]     Train Acc [47.17]       Train Time [33.80]
Round [7/200]    Train Loss [1.6822]     Train Acc [50.15]       Train Time [36.11]
Round [8/200]    Train Loss [1.5693]     Train Acc [52.77]       Train Time [31.50]
Round [9/200]    Train Loss [1.5401]     Train Acc [54.61]       Train Time [33.28]
Round [10/200]   Train Loss [1.4806]     Train Acc [56.01]       Train Time [30.45]
Round [11/200]   Train Loss [1.4174]     Train Acc [58.07]       Train Time [35.24]
Round [12/200]   Train Loss [1.2970]     Train Acc [61.37]       Train Time [31.32]
Round [13/200]   Train Loss [1.2667]     Train Acc [62.26]       Train Time [18.90]
Round [14/200]   Train Loss [1.2184]     Train Acc [63.40]       Train Time [29.63]
Round [15/200]   Train Loss [1.2090]     Train Acc [64.16]       Train Time [33.68]
Round [16/200]   Train Loss [1.0973]     Train Acc [67.38]       Train Time [35.53]
Round [17/200]   Train Loss [1.1066]     Train Acc [67.62]       Train Time [28.92]
Round [18/200]   Train Loss [1.0855]     Train Acc [68.41]       Train Time [31.31]
Round [19/200]   Train Loss [0.9837]     Train Acc [71.35]       Train Time [29.99]
KL Divergence: μ=10.3315
Round [20/200]   Train Loss [1.0087]     Train Acc [70.30]       Test Loss [1.9972]   Test Acc [45.51(11.60)]  Train Time [23.42]
Round [21/200]   Train Loss [0.9419]     Train Acc [72.54]       Train Time [42.38]
Round [22/200]   Train Loss [0.9173]     Train Acc [73.32]       Train Time [32.06]
Round [23/200]   Train Loss [0.9405]     Train Acc [72.65]       Train Time [32.81]
Round [24/200]   Train Loss [0.8705]     Train Acc [74.91]       Train Time [30.49]
Round [25/200]   Train Loss [0.8254]     Train Acc [76.27]       Train Time [30.36]
Round [26/200]   Train Loss [0.7812]     Train Acc [77.53]       Train Time [23.72]
Round [27/200]   Train Loss [0.6958]     Train Acc [79.83]       Train Time [21.65]
Round [28/200]   Train Loss [0.8300]     Train Acc [76.50]       Train Time [43.29]
Round [29/200]   Train Loss [0.7500]     Train Acc [79.06]       Train Time [28.55]
Round [30/200]   Train Loss [0.7312]     Train Acc [79.06]       Train Time [38.01]
Round [31/200]   Train Loss [0.7491]     Train Acc [78.79]       Train Time [34.02]
Round [32/200]   Train Loss [0.7075]     Train Acc [80.10]       Train Time [25.86]
Round [33/200]   Train Loss [0.7298]     Train Acc [79.42]       Train Time [36.92]
Round [34/200]   Train Loss [0.6660]     Train Acc [81.17]       Train Time [18.45]
Round [35/200]   Train Loss [0.6821]     Train Acc [80.64]       Train Time [29.00]
Round [36/200]   Train Loss [0.6503]     Train Acc [81.69]       Train Time [16.02]
Round [37/200]   Train Loss [0.6874]     Train Acc [80.75]       Train Time [34.27]
Round [38/200]   Train Loss [0.7052]     Train Acc [80.47]       Train Time [27.78]
Round [39/200]   Train Loss [0.6536]     Train Acc [81.60]       Train Time [23.60]
KL Divergence: μ=10.0709
Round [40/200]   Train Loss [0.6585]     Train Acc [81.41]       Test Loss [1.9968]     Test Acc [48.62(11.95)]         Train Time [29.40]
Round [41/200]   Train Loss [0.6211]     Train Acc [82.53]       Train Time [33.14]
Round [42/200]   Train Loss [0.6311]     Train Acc [82.28]       Train Time [28.43]
Round [43/200]   Train Loss [0.6205]     Train Acc [82.62]       Train Time [28.98]
Round [44/200]   Train Loss [0.5968]     Train Acc [83.46]       Train Time [32.67]
Round [45/200]   Train Loss [0.5804]     Train Acc [83.79]       Train Time [35.41]
Round [46/200]   Train Loss [0.5783]     Train Acc [83.89]       Train Time [30.14]
Round [47/200]   Train Loss [0.5789]     Train Acc [84.01]       Train Time [25.93]
Round [48/200]   Train Loss [0.5657]     Train Acc [84.37]       Train Time [27.08]
Round [49/200]   Train Loss [0.5586]     Train Acc [84.50]       Train Time [39.09]
Round [50/200]   Train Loss [0.5556]     Train Acc [84.42]       Train Time [24.65]
Round [51/200]   Train Loss [0.5658]     Train Acc [84.36]       Train Time [32.74]
Round [52/200]   Train Loss [0.5170]     Train Acc [85.62]       Train Time [32.45]
Round [53/200]   Train Loss [0.5560]     Train Acc [84.66]       Train Time [28.66]
Round [54/200]   Train Loss [0.5314]     Train Acc [85.34]       Train Time [32.41]
Round [55/200]   Train Loss [0.5066]     Train Acc [86.05]       Train Time [33.30]
Round [56/200]   Train Loss [0.5073]     Train Acc [86.07]       Train Time [28.66]
Round [57/200]   Train Loss [0.5303]     Train Acc [85.48]       Train Time [31.76]
Round [58/200]   Train Loss [0.5011]     Train Acc [86.00]       Train Time [35.03]
Round [59/200]   Train Loss [0.4985]     Train Acc [86.37]       Train Time [29.80]
KL Divergence: μ=8.0047
Round [60/200]   Train Loss [0.5493]     Train Acc [85.06]       Test Loss [2.1374]     Test Acc [50.72(11.98)]         Train Time [34.98]
Round [61/200]   Train Loss [0.4902]     Train Acc [86.30]       Train Time [22.03]
Round [62/200]   Train Loss [0.4912]     Train Acc [86.58]       Train Time [25.97]
Round [63/200]   Train Loss [0.5213]     Train Acc [85.81]       Train Time [22.68]
Round [64/200]   Train Loss [0.5190]     Train Acc [85.90]       Train Time [25.53]
Round [65/200]   Train Loss [0.5135]     Train Acc [86.14]       Train Time [29.03]
Round [66/200]   Train Loss [0.4883]     Train Acc [86.73]       Train Time [28.47]
Round [67/200]   Train Loss [0.4902]     Train Acc [86.78]       Train Time [33.08]
Round [68/200]   Train Loss [0.4826]     Train Acc [86.72]       Train Time [22.93]
Round [69/200]   Train Loss [0.5014]     Train Acc [86.52]       Train Time [28.94]
Round [70/200]   Train Loss [0.4846]     Train Acc [86.75]       Train Time [30.00]
Round [71/200]   Train Loss [0.4932]     Train Acc [86.48]       Train Time [40.40]
Round [72/200]   Train Loss [0.4892]     Train Acc [86.66]       Train Time [34.33]
Round [73/200]   Train Loss [0.5032]     Train Acc [86.47]       Train Time [28.01]
Round [74/200]   Train Loss [0.4682]     Train Acc [87.15]       Train Time [27.92]
Round [75/200]   Train Loss [0.4893]     Train Acc [86.67]       Train Time [25.51]
Round [76/200]   Train Loss [0.4571]     Train Acc [87.59]       Train Time [31.11]
Round [77/200]   Train Loss [0.4752]     Train Acc [87.06]       Train Time [27.68]
Round [78/200]   Train Loss [0.5136]     Train Acc [86.32]       Train Time [25.05]
Round [79/200]   Train Loss [0.4735]     Train Acc [87.28]       Train Time [24.13]
KL Divergence: μ=6.2841
Round [80/200]   Train Loss [0.5036]     Train Acc [86.46]       Test Loss [2.3100]     Test Acc [50.16(11.86)]         Train Time [34.30]
Round [81/200]   Train Loss [0.5057]     Train Acc [86.33]       Train Time [26.91]
Round [82/200]   Train Loss [0.4911]     Train Acc [86.69]       Train Time [24.10]
Round [83/200]   Train Loss [0.4967]     Train Acc [86.77]       Train Time [36.08]
Round [84/200]   Train Loss [0.4691]     Train Acc [87.13]       Train Time [15.37]
Round [85/200]   Train Loss [0.4965]     Train Acc [86.75]       Train Time [40.31]
Round [86/200]   Train Loss [0.4698]     Train Acc [87.42]       Train Time [28.76]
Round [87/200]   Train Loss [0.4510]     Train Acc [87.79]       Train Time [29.09]
Round [88/200]   Train Loss [0.4826]     Train Acc [87.25]       Train Time [30.14]
Round [89/200]   Train Loss [0.5066]     Train Acc [86.64]       Train Time [27.13]
Round [90/200]   Train Loss [0.4692]     Train Acc [87.44]       Train Time [27.49]
Round [91/200]   Train Loss [0.5191]     Train Acc [86.26]       Train Time [23.01]
Round [92/200]   Train Loss [0.4974]     Train Acc [86.84]       Train Time [25.70]
Round [93/200]   Train Loss [0.4844]     Train Acc [87.13]       Train Time [24.96]
Round [94/200]   Train Loss [0.5130]     Train Acc [86.46]       Train Time [31.90]
Round [95/200]   Train Loss [0.4929]     Train Acc [87.15]       Train Time [20.15]
Round [96/200]   Train Loss [0.4788]     Train Acc [87.13]       Train Time [30.38]
