Training pFedFDA...
Round [1/200]	 Train Loss [1.8295]	 Train Acc [36.64]	 Train Time [12.87]
Round [2/200]	 Train Loss [2.0807]	 Train Acc [38.26]	 Train Time [10.55]
Round [3/200]	 Train Loss [1.5370]	 Train Acc [39.65]	 Train Time [9.03]
Round [4/200]	 Train Loss [1.4166]	 Train Acc [46.83]	 Train Time [13.22]
Round [5/200]	 Train Loss [1.3797]	 Train Acc [48.59]	 Train Time [12.35]
Round [6/200]	 Train Loss [1.3233]	 Train Acc [51.53]	 Train Time [13.12]
Round [7/200]	 Train Loss [1.3064]	 Train Acc [50.67]	 Train Time [13.42]
Round [8/200]	 Train Loss [1.2379]	 Train Acc [55.15]	 Train Time [9.88]
Round [9/200]	 Train Loss [1.2071]	 Train Acc [54.69]	 Train Time [13.47]
Round [10/200]	 Train Loss [1.2675]	 Train Acc [53.09]	 Train Time [10.48]
Round [11/200]	 Train Loss [1.2905]	 Train Acc [51.38]	 Train Time [10.69]
Round [12/200]	 Train Loss [1.1930]	 Train Acc [54.86]	 Train Time [11.39]
Round [13/200]	 Train Loss [1.1647]	 Train Acc [56.27]	 Train Time [12.87]
Round [14/200]	 Train Loss [1.2582]	 Train Acc [52.32]	 Train Time [11.21]
Round [15/200]	 Train Loss [1.2865]	 Train Acc [51.33]	 Train Time [9.48]
Round [16/200]	 Train Loss [1.2160]	 Train Acc [54.91]	 Train Time [8.90]
Round [17/200]	 Train Loss [1.1905]	 Train Acc [55.08]	 Train Time [10.14]
Round [18/200]	 Train Loss [1.1523]	 Train Acc [55.06]	 Train Time [9.52]
Round [19/200]	 Train Loss [1.1387]	 Train Acc [56.65]	 Train Time [11.54]
KL Divergence: μ=0.0798
Round [20/200]	 Train Loss [1.2318]	 Train Acc [53.37]	 Test Loss [1.2089]	 Test Acc [54.76(12.22)]	 Train Time [9.28]
Round [21/200]	 Train Loss [1.2413]	 Train Acc [52.08]	 Train Time [12.25]
Round [22/200]	 Train Loss [1.1275]	 Train Acc [59.20]	 Train Time [8.33]
Round [23/200]	 Train Loss [1.1699]	 Train Acc [56.59]	 Train Time [8.35]
Round [24/200]	 Train Loss [1.1219]	 Train Acc [56.37]	 Train Time [13.79]
Round [25/200]	 Train Loss [1.1268]	 Train Acc [56.61]	 Train Time [11.99]
Round [26/200]	 Train Loss [1.1320]	 Train Acc [57.32]	 Train Time [6.57]
Round [27/200]	 Train Loss [1.1394]	 Train Acc [56.47]	 Train Time [12.06]
Round [28/200]	 Train Loss [1.1227]	 Train Acc [56.22]	 Train Time [11.23]
Round [29/200]	 Train Loss [1.0858]	 Train Acc [58.64]	 Train Time [12.22]
Round [30/200]	 Train Loss [1.0513]	 Train Acc [60.71]	 Train Time [13.14]
Round [31/200]	 Train Loss [1.1305]	 Train Acc [56.76]	 Train Time [13.56]
Round [32/200]	 Train Loss [1.0511]	 Train Acc [59.50]	 Train Time [12.45]
Round [33/200]	 Train Loss [1.0536]	 Train Acc [60.68]	 Train Time [11.66]
Round [34/200]	 Train Loss [1.0962]	 Train Acc [58.78]	 Train Time [10.60]
Round [35/200]	 Train Loss [0.9889]	 Train Acc [63.39]	 Train Time [10.85]
Round [36/200]	 Train Loss [1.0549]	 Train Acc [59.82]	 Train Time [10.82]
Round [37/200]	 Train Loss [1.0680]	 Train Acc [60.09]	 Train Time [11.97]
Round [38/200]	 Train Loss [1.1051]	 Train Acc [58.78]	 Train Time [13.75]
Round [39/200]	 Train Loss [1.0199]	 Train Acc [61.07]	 Train Time [10.52]
KL Divergence: μ=0.1654
Round [40/200]	 Train Loss [1.0868]	 Train Acc [58.16]	 Test Loss [1.1029]	 Test Acc [59.46(10.99)]	 Train Time [10.96]
Round [41/200]	 Train Loss [0.9735]	 Train Acc [64.03]	 Train Time [13.12]
