Training pFedFDA...
Round [1/200]	 Train Loss [1.4649]	 Train Acc [48.94]	 Train Time [31.69]
Round [2/200]	 Train Loss [1.3623]	 Train Acc [53.55]	 Train Time [27.27]
Round [3/200]	 Train Loss [1.2717]	 Train Acc [53.77]	 Train Time [25.45]
Round [4/200]	 Train Loss [1.0554]	 Train Acc [61.50]	 Train Time [25.19]
Round [5/200]	 Train Loss [1.1111]	 Train Acc [58.03]	 Train Time [24.42]
Round [6/200]	 Train Loss [1.0804]	 Train Acc [60.73]	 Train Time [28.89]
Round [7/200]	 Train Loss [1.0229]	 Train Acc [62.61]	 Train Time [30.27]
Round [8/200]	 Train Loss [0.9883]	 Train Acc [64.50]	 Train Time [24.84]
Round [9/200]	 Train Loss [0.8689]	 Train Acc [68.43]	 Train Time [20.71]
Round [10/200]	 Train Loss [0.9238]	 Train Acc [66.16]	 Train Time [21.38]
Round [11/200]	 Train Loss [0.8143]	 Train Acc [70.58]	 Train Time [28.50]
Round [12/200]	 Train Loss [0.8576]	 Train Acc [69.63]	 Train Time [24.11]
Round [13/200]	 Train Loss [0.8344]	 Train Acc [69.69]	 Train Time [30.59]
Round [14/200]	 Train Loss [0.6576]	 Train Acc [75.97]	 Train Time [24.35]
Round [15/200]	 Train Loss [0.8235]	 Train Acc [70.52]	 Train Time [27.00]
Round [16/200]	 Train Loss [0.7990]	 Train Acc [70.75]	 Train Time [26.10]
Round [17/200]	 Train Loss [0.7233]	 Train Acc [73.96]	 Train Time [23.45]
Round [18/200]	 Train Loss [0.6918]	 Train Acc [75.00]	 Train Time [23.81]
Round [19/200]	 Train Loss [0.7243]	 Train Acc [73.35]	 Train Time [31.29]
KL Divergence: μ=0.6903
Round [20/200]	 Train Loss [0.6417]	 Train Acc [77.22]	 Test Loss [0.8092]	 Test Acc [70.34(12.06)]	 Train Time [27.21]
Round [21/200]	 Train Loss [0.6397]	 Train Acc [76.78]	 Train Time [28.04]
Round [22/200]	 Train Loss [0.6928]	 Train Acc [74.93]	 Train Time [35.46]
Round [23/200]	 Train Loss [0.5768]	 Train Acc [79.54]	 Train Time [32.66]
Round [24/200]	 Train Loss [0.5679]	 Train Acc [79.88]	 Train Time [25.84]
Round [25/200]	 Train Loss [0.5808]	 Train Acc [79.29]	 Train Time [21.63]
Round [26/200]	 Train Loss [0.5244]	 Train Acc [81.44]	 Train Time [35.45]
Round [27/200]	 Train Loss [0.5232]	 Train Acc [81.52]	 Train Time [29.90]
Round [28/200]	 Train Loss [0.5366]	 Train Acc [81.31]	 Train Time [27.43]
Round [29/200]	 Train Loss [0.4828]	 Train Acc [83.06]	 Train Time [26.41]
Round [30/200]	 Train Loss [0.4917]	 Train Acc [83.04]	 Train Time [26.89]
Round [31/200]	 Train Loss [0.4964]	 Train Acc [82.71]	 Train Time [29.35]
Round [32/200]	 Train Loss [0.4972]	 Train Acc [82.82]	 Train Time [23.63]
Round [33/200]	 Train Loss [0.4485]	 Train Acc [84.30]	 Train Time [23.45]
Round [34/200]	 Train Loss [0.4329]	 Train Acc [84.96]	 Train Time [26.77]
Round [35/200]	 Train Loss [0.4261]	 Train Acc [85.44]	 Train Time [30.82]
Round [36/200]	 Train Loss [0.3957]	 Train Acc [86.51]	 Train Time [27.83]
Round [37/200]	 Train Loss [0.3903]	 Train Acc [86.67]	 Train Time [31.41]
Round [38/200]	 Train Loss [0.4092]	 Train Acc [86.40]	 Train Time [32.36]
Round [39/200]	 Train Loss [0.3619]	 Train Acc [87.79]	 Train Time [22.52]
KL Divergence: μ=1.4886
Round [40/200]	 Train Loss [0.3830]	 Train Acc [87.15]	 Test Loss [0.7371]	 Test Acc [74.73(9.31)]	 Train Time [25.26]
Round [41/200]	 Train Loss [0.3641]	 Train Acc [87.66]	 Train Time [25.47]
Round [42/200]	 Train Loss [0.3575]	 Train Acc [88.26]	 Train Time [24.88]
Round [43/200]	 Train Loss [0.3567]	 Train Acc [88.22]	 Train Time [18.30]
Round [44/200]	 Train Loss [0.3903]	 Train Acc [86.96]	 Train Time [21.71]
Round [45/200]	 Train Loss [0.3464]	 Train Acc [88.67]	 Train Time [20.38]
Round [46/200]	 Train Loss [0.3014]	 Train Acc [90.02]	 Train Time [26.36]
Round [47/200]	 Train Loss [0.3378]	 Train Acc [88.80]	 Train Time [31.22]
Round [48/200]	 Train Loss [0.3316]	 Train Acc [89.30]	 Train Time [20.56]
Round [49/200]	 Train Loss [0.3232]	 Train Acc [89.48]	 Train Time [27.76]
Round [50/200]	 Train Loss [0.2947]	 Train Acc [90.45]	 Train Time [25.02]
Round [51/200]	 Train Loss [0.3221]	 Train Acc [89.56]	 Train Time [19.32]
Round [52/200]	 Train Loss [0.2791]	 Train Acc [90.87]	 Train Time [20.66]
Round [53/200]	 Train Loss [0.3120]	 Train Acc [89.93]	 Train Time [27.73]
Round [54/200]	 Train Loss [0.3040]	 Train Acc [90.40]	 Train Time [25.20]
Round [55/200]	 Train Loss [0.3005]	 Train Acc [90.36]	 Train Time [22.53]
Round [56/200]	 Train Loss [0.2829]	 Train Acc [90.97]	 Train Time [23.40]
Round [57/200]	 Train Loss [0.2550]	 Train Acc [91.85]	 Train Time [22.74]
Round [58/200]	 Train Loss [0.2759]	 Train Acc [90.99]	 Train Time [27.60]
Round [59/200]	 Train Loss [0.2496]	 Train Acc [92.01]	 Train Time [30.30]
KL Divergence: μ=1.8085
Round [60/200]	 Train Loss [0.2514]	 Train Acc [91.88]	 Test Loss [0.7200]	 Test Acc [76.11(8.71)]	 Train Time [31.02]
Round [61/200]	 Train Loss [0.2945]	 Train Acc [90.56]	 Train Time [16.57]
Round [62/200]	 Train Loss [0.2552]	 Train Acc [91.86]	 Train Time [24.73]
