Training pFedFDA...
Round [1/200]	 Train Loss [3.0406]	 Train Acc [30.47]	 Train Time [26.19]
Round [2/200]	 Train Loss [1.9092]	 Train Acc [61.47]	 Train Time [15.63]
Round [3/200]	 Train Loss [0.9333]	 Train Acc [76.49]	 Train Time [17.96]
Round [4/200]	 Train Loss [0.5975]	 Train Acc [83.92]	 Train Time [16.21]
Round [5/200]	 Train Loss [0.5463]	 Train Acc [85.25]	 Train Time [20.87]
Round [6/200]	 Train Loss [0.4535]	 Train Acc [87.20]	 Train Time [16.09]
Round [7/200]	 Train Loss [0.4467]	 Train Acc [87.35]	 Train Time [16.08]
Round [8/200]	 Train Loss [0.4144]	 Train Acc [88.28]	 Train Time [13.98]
Round [9/200]	 Train Loss [0.3791]	 Train Acc [88.91]	 Train Time [14.52]
Round [10/200]	 Train Loss [0.3440]	 Train Acc [90.27]	 Train Time [14.57]
Round [11/200]	 Train Loss [0.3389]	 Train Acc [90.39]	 Train Time [16.79]
Round [12/200]	 Train Loss [0.3097]	 Train Acc [90.87]	 Train Time [11.48]
Round [13/200]	 Train Loss [0.3295]	 Train Acc [90.44]	 Train Time [18.41]
Round [14/200]	 Train Loss [0.2967]	 Train Acc [91.58]	 Train Time [13.41]
Round [15/200]	 Train Loss [0.3474]	 Train Acc [90.16]	 Train Time [11.75]
Round [16/200]	 Train Loss [0.2752]	 Train Acc [92.11]	 Train Time [17.49]
Round [17/200]	 Train Loss [0.3225]	 Train Acc [90.82]	 Train Time [15.87]
Round [18/200]	 Train Loss [0.2892]	 Train Acc [91.86]	 Train Time [14.67]
Round [19/200]	 Train Loss [0.3043]	 Train Acc [91.36]	 Train Time [10.66]
KL Divergence: μ=1.1659
Round [20/200]	 Train Loss [0.2809]	 Train Acc [92.44]	 Test Loss [1.9949]	 Test Acc [78.03(9.73)]	 Train Time [11.65]
Round [21/200]	 Train Loss [0.3066]	 Train Acc [91.38]	 Train Time [14.56]
Round [22/200]	 Train Loss [0.2626]	 Train Acc [92.35]	 Train Time [13.12]
Round [23/200]	 Train Loss [0.2507]	 Train Acc [92.54]	 Train Time [14.20]
Round [24/200]	 Train Loss [0.2424]	 Train Acc [92.94]	 Train Time [15.82]
Round [25/200]	 Train Loss [0.3186]	 Train Acc [91.04]	 Train Time [13.37]
Round [26/200]	 Train Loss [0.2739]	 Train Acc [92.10]	 Train Time [13.51]
Round [27/200]	 Train Loss [0.2834]	 Train Acc [91.95]	 Train Time [19.33]
Round [28/200]	 Train Loss [0.2477]	 Train Acc [92.77]	 Train Time [14.02]
Round [29/200]	 Train Loss [0.3087]	 Train Acc [91.59]	 Train Time [15.40]
Round [30/200]	 Train Loss [0.2264]	 Train Acc [93.28]	 Train Time [19.55]
Round [31/200]	 Train Loss [0.2797]	 Train Acc [92.19]	 Train Time [18.55]
Round [32/200]	 Train Loss [0.2625]	 Train Acc [92.83]	 Train Time [11.74]
Round [33/200]	 Train Loss [0.2657]	 Train Acc [92.63]	 Train Time [17.03]
Round [34/200]	 Train Loss [0.2608]	 Train Acc [92.87]	 Train Time [17.23]
Round [35/200]	 Train Loss [0.1997]	 Train Acc [93.93]	 Train Time [14.50]
Round [36/200]	 Train Loss [0.2870]	 Train Acc [92.08]	 Train Time [16.19]
Round [37/200]	 Train Loss [0.2331]	 Train Acc [93.52]	 Train Time [17.16]
Round [38/200]	 Train Loss [0.2403]	 Train Acc [93.10]	 Train Time [15.61]
