Training pFedFDA...
Round [1/200]	 Train Loss [7.9160]	 Train Acc [9.46]	 Train Time [167.77]
Round [2/200]	 Train Loss [7.7120]	 Train Acc [4.32]	 Train Time [165.15]
Round [3/200]	 Train Loss [6.3174]	 Train Acc [4.78]	 Train Time [159.17]
Round [4/200]	 Train Loss [4.8509]	 Train Acc [9.37]	 Train Time [227.78]
Round [5/200]	 Train Loss [4.0803]	 Train Acc [11.72]	 Train Time [258.52]
Round [6/200]	 Train Loss [4.9835]	 Train Acc [9.39]	 Train Time [245.97]
Round [7/200]	 Train Loss [4.1867]	 Train Acc [8.19]	 Train Time [213.96]
Round [8/200]	 Train Loss [3.9711]	 Train Acc [10.07]	 Train Time [299.61]
Round [9/200]	 Train Loss [3.5430]	 Train Acc [12.95]	 Train Time [231.99]
Round [10/200]	 Train Loss [3.4648]	 Train Acc [13.50]	 Train Time [244.96]
Round [11/200]	 Train Loss [3.4114]	 Train Acc [13.16]	 Train Time [158.89]
Round [12/200]	 Train Loss [3.3913]	 Train Acc [13.83]	 Train Time [138.21]
Round [13/200]	 Train Loss [3.3292]	 Train Acc [14.47]	 Train Time [182.15]
Round [14/200]	 Train Loss [3.3374]	 Train Acc [14.32]	 Train Time [149.01]
Round [15/200]	 Train Loss [3.2845]	 Train Acc [16.59]	 Train Time [183.79]
Round [16/200]	 Train Loss [3.2347]	 Train Acc [17.19]	 Train Time [285.91]
Round [17/200]	 Train Loss [3.2496]	 Train Acc [17.30]	 Train Time [184.86]
Round [18/200]	 Train Loss [3.1895]	 Train Acc [18.55]	 Train Time [152.08]
Round [19/200]	 Train Loss [3.1968]	 Train Acc [19.12]	 Train Time [164.66]
KL Divergence: μ=0.9085
Round [20/200]	 Train Loss [3.1609]	 Train Acc [19.03]	 Test Loss [3.2929]	 Test Acc [16.43(6.15)]	 Train Time [180.14]
Round [21/200]	 Train Loss [3.1532]	 Train Acc [19.38]	 Train Time [213.77]
Round [22/200]	 Train Loss [3.1095]	 Train Acc [19.98]	 Train Time [164.28]
Round [23/200]	 Train Loss [3.0584]	 Train Acc [21.12]	 Train Time [186.98]
Round [24/200]	 Train Loss [3.0191]	 Train Acc [22.23]	 Train Time [176.85]
Round [25/200]	 Train Loss [2.9663]	 Train Acc [22.94]	 Train Time [172.96]
Round [26/200]	 Train Loss [2.9355]	 Train Acc [24.34]	 Train Time [137.58]
Round [27/200]	 Train Loss [2.9058]	 Train Acc [24.51]	 Train Time [165.20]
Round [28/200]	 Train Loss [2.8698]	 Train Acc [25.64]	 Train Time [130.38]
Round [29/200]	 Train Loss [2.8329]	 Train Acc [26.63]	 Train Time [183.04]
Round [30/200]	 Train Loss [2.8020]	 Train Acc [27.68]	 Train Time [199.60]
Round [31/200]	 Train Loss [2.7894]	 Train Acc [28.14]	 Train Time [151.91]
Round [32/200]	 Train Loss [2.6739]	 Train Acc [30.63]	 Train Time [163.53]
Round [33/200]	 Train Loss [2.5724]	 Train Acc [32.56]	 Train Time [155.22]
Round [34/200]	 Train Loss [2.4983]	 Train Acc [34.99]	 Train Time [204.28]
Round [35/200]	 Train Loss [2.4201]	 Train Acc [36.07]	 Train Time [235.00]
Round [36/200]	 Train Loss [2.3360]	 Train Acc [39.12]	 Train Time [142.41]
Round [37/200]	 Train Loss [2.2678]	 Train Acc [39.93]	 Train Time [153.50]
Round [38/200]	 Train Loss [2.2417]	 Train Acc [41.08]	 Train Time [161.46]
Round [39/200]	 Train Loss [2.1033]	 Train Acc [44.14]	 Train Time [148.35]
KL Divergence: μ=2.0614
Round [40/200]	 Train Loss [1.9919]	 Train Acc [46.87]	 Test Loss [2.9425]	 Test Acc [26.15(6.85)]	 Train Time [112.44]
Round [41/200]	 Train Loss [2.0414]	 Train Acc [45.84]	 Train Time [114.55]
Round [42/200]	 Train Loss [1.9606]	 Train Acc [47.89]	 Train Time [163.54]
Round [43/200]	 Train Loss [1.7824]	 Train Acc [52.17]	 Train Time [130.39]
Round [44/200]	 Train Loss [1.8504]	 Train Acc [50.71]	 Train Time [100.52]
Round [45/200]	 Train Loss [1.7470]	 Train Acc [53.15]	 Train Time [169.57]
Round [46/200]	 Train Loss [1.6473]	 Train Acc [55.97]	 Train Time [141.26]
Round [47/200]	 Train Loss [1.5895]	 Train Acc [57.41]	 Train Time [124.30]
Round [48/200]	 Train Loss [1.6442]	 Train Acc [56.56]	 Train Time [143.57]
Round [49/200]	 Train Loss [1.5249]	 Train Acc [58.94]	 Train Time [155.24]
Round [50/200]	 Train Loss [1.4569]	 Train Acc [60.97]	 Train Time [206.02]
Round [51/200]	 Train Loss [1.3931]	 Train Acc [62.34]	 Train Time [216.00]
Round [52/200]	 Train Loss [1.3474]	 Train Acc [63.66]	 Train Time [194.11]
Round [53/200]	 Train Loss [1.3219]	 Train Acc [64.68]	 Train Time [171.87]
Round [54/200]	 Train Loss [1.3266]	 Train Acc [64.50]	 Train Time [201.31]
Round [55/200]	 Train Loss [1.2078]	 Train Acc [67.55]	 Train Time [148.54]
Round [56/200]	 Train Loss [1.2092]	 Train Acc [67.51]	 Train Time [158.08]
Round [57/200]	 Train Loss [1.1482]	 Train Acc [69.27]	 Train Time [163.51]
Round [58/200]	 Train Loss [1.1869]	 Train Acc [68.33]	 Train Time [162.65]
Round [59/200]	 Train Loss [1.1281]	 Train Acc [69.96]	 Train Time [135.35]
KL Divergence: μ=3.1022
Round [60/200]	 Train Loss [1.1215]	 Train Acc [69.85]	 Test Loss [2.9995]	 Test Acc [30.04(7.04)]	 Train Time [155.06]
Round [61/200]	 Train Loss [1.0743]	 Train Acc [71.35]	 Train Time [135.85]
Round [62/200]	 Train Loss [1.0430]	 Train Acc [72.14]	 Train Time [197.60]
Round [63/200]	 Train Loss [0.9756]	 Train Acc [74.06]	 Train Time [143.26]
Round [64/200]	 Train Loss [1.0162]	 Train Acc [73.01]	 Train Time [126.93]
Round [65/200]	 Train Loss [0.9810]	 Train Acc [73.76]	 Train Time [138.15]
Round [66/200]	 Train Loss [0.9252]	 Train Acc [75.38]	 Train Time [131.61]
Round [67/200]	 Train Loss [0.9513]	 Train Acc [74.43]	 Train Time [103.17]
Round [68/200]	 Train Loss [0.9024]	 Train Acc [75.93]	 Train Time [129.59]
Round [69/200]	 Train Loss [0.8778]	 Train Acc [76.44]	 Train Time [150.67]
Round [70/200]	 Train Loss [0.8518]	 Train Acc [77.17]	 Train Time [164.98]
Round [71/200]	 Train Loss [0.8428]	 Train Acc [77.43]	 Train Time [148.75]
Round [72/200]	 Train Loss [0.8555]	 Train Acc [77.16]	 Train Time [175.06]
Round [73/200]	 Train Loss [0.8415]	 Train Acc [77.44]	 Train Time [161.91]
Round [74/200]	 Train Loss [0.8059]	 Train Acc [78.48]	 Train Time [128.10]
Round [75/200]	 Train Loss [0.8174]	 Train Acc [78.07]	 Train Time [157.83]
Round [76/200]	 Train Loss [0.7710]	 Train Acc [79.27]	 Train Time [123.94]
Round [77/200]	 Train Loss [0.7589]	 Train Acc [79.70]	 Train Time [112.25]
Round [78/200]	 Train Loss [0.7452]	 Train Acc [80.03]	 Train Time [157.27]
Round [79/200]	 Train Loss [0.7148]	 Train Acc [80.59]	 Train Time [155.58]
KL Divergence: μ=5.2987
Round [80/200]	 Train Loss [0.7292]	 Train Acc [80.25]	 Test Loss [3.0163]	 Test Acc [31.84(7.01)]	 Train Time [153.66]
Round [81/200]	 Train Loss [0.6766]	 Train Acc [81.50]	 Train Time [171.73]
Round [82/200]	 Train Loss [0.7259]	 Train Acc [80.37]	 Train Time [106.93]
Round [83/200]	 Train Loss [0.7064]	 Train Acc [81.03]	 Train Time [168.38]
Round [84/200]	 Train Loss [0.6811]	 Train Acc [81.50]	 Train Time [128.70]
Round [85/200]	 Train Loss [0.6807]	 Train Acc [81.64]	 Train Time [176.06]
Round [86/200]	 Train Loss [0.6507]	 Train Acc [82.22]	 Train Time [159.71]
Round [87/200]	 Train Loss [0.6903]	 Train Acc [81.38]	 Train Time [149.60]
