Training pFedMDG...
Round [1/200]	 Train Loss [5.8640]	 Train Acc [4.51]	 Train Time [214.42]
Round [2/200]	 Train Loss [6.7057]	 Train Acc [4.34]	 Train Time [121.05]
Round [3/200]	 Train Loss [4.1628]	 Train Acc [7.65]	 Train Time [130.28]
Round [4/200]	 Train Loss [4.0582]	 Train Acc [8.79]	 Train Time [138.12]
Round [5/200]	 Train Loss [3.8085]	 Train Acc [10.60]	 Train Time [173.80]
Round [6/200]	 Train Loss [3.6739]	 Train Acc [11.23]	 Train Time [111.05]
Round [7/200]	 Train Loss [3.6511]	 Train Acc [12.82]	 Train Time [154.01]
Round [8/200]	 Train Loss [3.6388]	 Train Acc [12.46]	 Train Time [132.19]
Round [9/200]	 Train Loss [3.6106]	 Train Acc [12.87]	 Train Time [123.41]
Round [10/200]	 Train Loss [3.5722]	 Train Acc [12.97]	 Train Time [124.74]
Round [11/200]	 Train Loss [3.5155]	 Train Acc [14.71]	 Train Time [93.85]
Round [12/200]	 Train Loss [3.4479]	 Train Acc [14.75]	 Train Time [138.48]
Round [13/200]	 Train Loss [3.4302]	 Train Acc [15.37]	 Train Time [103.33]
Round [14/200]	 Train Loss [3.4555]	 Train Acc [14.68]	 Train Time [153.49]
Round [15/200]	 Train Loss [3.4219]	 Train Acc [16.52]	 Train Time [137.10]
Round [16/200]	 Train Loss [3.4027]	 Train Acc [15.84]	 Train Time [161.88]
Round [17/200]	 Train Loss [3.4066]	 Train Acc [16.05]	 Train Time [158.18]
Round [18/200]	 Train Loss [3.3561]	 Train Acc [16.81]	 Train Time [118.25]
Round [19/200]	 Train Loss [3.3016]	 Train Acc [17.54]	 Train Time [142.92]
KL Divergence: μ=0.1195
Round [20/200]	 Train Loss [3.3028]	 Train Acc [17.81]	 Test Loss [3.5980]	 Test Acc [14.30(6.83)]	 Train Time [153.29]
Round [21/200]	 Train Loss [3.2629]	 Train Acc [17.82]	 Train Time [142.88]
Round [22/200]	 Train Loss [3.2626]	 Train Acc [18.79]	 Train Time [130.12]
Round [23/200]	 Train Loss [3.2542]	 Train Acc [18.50]	 Train Time [156.34]
Round [24/200]	 Train Loss [3.2468]	 Train Acc [18.63]	 Train Time [148.06]
Round [25/200]	 Train Loss [3.2422]	 Train Acc [19.33]	 Train Time [124.84]
Round [26/200]	 Train Loss [3.1823]	 Train Acc [20.50]	 Train Time [114.90]
Round [27/200]	 Train Loss [3.1778]	 Train Acc [20.11]	 Train Time [159.04]
Round [28/200]	 Train Loss [3.1615]	 Train Acc [20.01]	 Train Time [133.39]
Round [29/200]	 Train Loss [3.1408]	 Train Acc [20.65]	 Train Time [107.95]
Round [30/200]	 Train Loss [3.1499]	 Train Acc [20.80]	 Train Time [192.74]
Round [31/200]	 Train Loss [3.1610]	 Train Acc [20.47]	 Train Time [144.68]
Round [32/200]	 Train Loss [3.1283]	 Train Acc [20.96]	 Train Time [179.01]
Round [33/200]	 Train Loss [3.1080]	 Train Acc [21.13]	 Train Time [162.70]
Round [34/200]	 Train Loss [3.0565]	 Train Acc [22.65]	 Train Time [148.28]
Round [35/200]	 Train Loss [3.0914]	 Train Acc [21.36]	 Train Time [81.03]
Round [36/200]	 Train Loss [3.0471]	 Train Acc [22.46]	 Train Time [182.64]
Round [37/200]	 Train Loss [3.0652]	 Train Acc [22.58]	 Train Time [160.11]
Round [38/200]	 Train Loss [3.0206]	 Train Acc [23.01]	 Train Time [161.95]
Round [39/200]	 Train Loss [3.0364]	 Train Acc [22.41]	 Train Time [147.18]
KL Divergence: μ=0.1671
Round [40/200]	 Train Loss [2.9828]	 Train Acc [24.03]	 Test Loss [3.4208]	 Test Acc [17.18(7.34)]	 Train Time [160.87]
Round [41/200]	 Train Loss [2.9686]	 Train Acc [24.66]	 Train Time [143.79]
Round [42/200]	 Train Loss [2.9531]	 Train Acc [24.93]	 Train Time [170.09]
Round [43/200]	 Train Loss [2.9553]	 Train Acc [24.36]	 Train Time [143.07]
Round [44/200]	 Train Loss [2.9441]	 Train Acc [24.57]	 Train Time [148.57]
Round [45/200]	 Train Loss [2.9196]	 Train Acc [24.95]	 Train Time [169.19]
Round [46/200]	 Train Loss [2.8817]	 Train Acc [25.75]	 Train Time [186.62]
Round [47/200]	 Train Loss [2.9015]	 Train Acc [25.04]	 Train Time [115.69]
Round [48/200]	 Train Loss [2.9089]	 Train Acc [25.52]	 Train Time [166.29]
Round [49/200]	 Train Loss [2.8908]	 Train Acc [25.42]	 Train Time [190.53]
Round [50/200]	 Train Loss [2.8603]	 Train Acc [25.86]	 Train Time [155.34]
Round [51/200]	 Train Loss [2.8499]	 Train Acc [26.48]	 Train Time [102.54]
Round [52/200]	 Train Loss [2.8762]	 Train Acc [25.86]	 Train Time [149.06]
Round [53/200]	 Train Loss [2.8533]	 Train Acc [26.73]	 Train Time [82.24]
Round [54/200]	 Train Loss [2.8423]	 Train Acc [26.76]	 Train Time [174.18]
Round [55/200]	 Train Loss [2.7723]	 Train Acc [27.95]	 Train Time [112.51]
